,Suburb,Facilites
1106,TIMBOON,5
1107,TIMBOON ,1
1108,TINAMBA,1
1109,TINTALDRA,1
1110,TOLMIE,1
1111,TONGALA,5
1112,TONGIO,1
1113,TOOBORAC,1
1114,TOOLAMBA,1
1115,TOOLANGI,2
1116,TOOLLEEN,2
1117,TOOLONDO,2
1118,TOONGABBIE,3
1119,TOORA,3
1120,TOORADIN,1
1121,TOORADIN ,2
1122,TOORAK,5
1123,TOORLERN VALE,1
1124,TOOTGAROOK,1
1125,TORQUAY,23
1126,TORRITA,1
1127,TRAFALGAR,10
1128,TRARALGON,20
1129,TRARALGON SOUTH,1
1130,TRENTHAM,5
1131,TRUGANINA,4
1132,TUERONG,1
1133,TULLAMARINE,11
1134,TUNGAMAH,3
1135,TYABB,2
1136,TYABB ,1
1137,TYERS,1
1138,TYLDEN,2
1139,TYNONG,2
1140,TYNTYNDER SOUTH,1
1141,TYRENDARRA,1
1142,ULTIMA,2
1143,UNDERA,1
1144,UNDERBOOL,4
1145,UPPER BEACONSFIELD,3
1146,UPPER FERNTREE GULLY,4
1147,UPWEY,2
1148,VENTNOR,1
1149,VENUS BAY,2
1150,VERMONT,2
1151,VERMONT  ,1
1152,VERMONT SOUTH,9
1153,VIEWBANK,2
1154,VIEWBANK ,1
1155,VINIFERA,1
1156,VIOLET TOWN,4
1157,WAAIA,2
1158,WAHGUNYA,1
1159,WALLACE,2
1160,WALLACEDALE,1
1161,WALLALOO,1
1162,WALLAN,8
1163,WALLINGTON,1
1164,WALPEUP,2
1165,WALWA,2
1166,WANDANA HEIGHTS,1
1167,WANDELLA,1
1168,WANDILIGONG,1
1169,WANDIN EAST,1
1170,WANDIN NORTH,1
1171,WANDO VALE,1
1172,WANDONG,2
1173,WANGANDARY,1
1174,WANGARATTA,21
1175,WANGARTTA,1
1176,WANGOOM,2
1177,WANTIRNA,9
1178,WANTIRNA SOUTH,13
1179,WARBURTON,3
1180,WARNCOORT,1
1181,WARNEET,1
1182,WARNEET ,1
1183,WARRACKNABEAL,7
1184,WARRAGUL,20
1185,WARRAGUL NORTH,1
1186,WARRAGUL SOUTH,1
1187,WARRAK,1
1188,WARRANDYTE,2
1189,WARRENBAYNE,1
1190,WARRION,1
1191,WARRNAMBOOL,40
1192,WATCHEM,2
1193,WATSONIA ,4
1194,WATTLE GLEN,2
1195,WAUBRA,2
1196,WAURN PONDS,7
1197,WEDDERBURN,6
1198,WELSHPOOL,2
1199,WENDOUREE,17
1200,WENDOUREE WEST,1
1201,WERRIBEE,20
1202,WESBURN,1
1203,WEST FOOTSCRAY,2
1204,WEST HEIDELBERG ,5
1205,WEST MELBOURNE,1
1206,WEST PRESTON,1
1207,WESTMEADOWS,3
1208,WHEELERS HILL,7
1209,WHITE HILLS,3
1210,WHITFIELD,2
1211,WHITTINGTON,2
1212,WHITTLESEA,6
1213,WHOROULY,1
1214,WICKLIFFE,1
1215,WILBY,1
1216,WILLIAMSTOWN,19
1217,WILLIAMSTOWN NORTH,2
1218,WILLLAURA,4
1219,WILLOW GROVE,2
1220,WINCHELSEA,9
1221,WINDSOR,1
1222,WINSLOW,1
1223,WINTON,1
1224,WODONGA,12
1225,WOLLERT,2
1226,WONDONGA,4
1227,WONGA PARK,1
1228,WONTHAGGI,10
1229,WONTHAGGIE,1
1230,WOODEND,9
1231,WOODFORD,1
1232,WOODS POINT,1
1233,WOODSIDE,1
1234,WOODSIDE BEACH,1
1235,WOODVALE,1
1236,WOOLAMAI,1
1237,WOOLSTHORPE,2
1238,WOOMELANG,4
1239,WOORI YALLOCK,1
1240,WOORINEN,1
1241,WOORNDOO,1
1242,WOOTONG VALE,1
1243,WORAGEE,1
1244,WUNGHNU,2
1245,WY YUNG,1
1246,WYCHEPROOF,7
1247,WYE RIVER,1
1248,WYNDHAM VALE,5
1249,WYUNA,1
1250,YAAPEET,1
1251,YACKANDANDAH,6
1252,YALLAMBIE ,1
1253,YALLOURN,1
1254,YALLOURN NORTH,5
1255,YAMBUK,1
1256,YAN YEAN,2
1257,YANAC,1
1258,YANAKIE,2
1259,YANNATHAN,1
1260,YAPEEN,1
1261,YARCK,1
1262,YARRA GLEN,4
1263,YARRA JUNCTION,1
1264,YARRAGON,3
1265,YARRAGOON,1
1266,YARRAM,5
1267,YARRAMBAT,5
1268,YARRAVILLE,10
1269,YARRAWONGA,7
1270,YARROWEYAH,1
1271,YEA,7
1272,YELLINGBO,1
1273,YENDON,1
1274,YEO,1
1275,YERING,1
1276,YINNAR,2
1277,YINNAR SOUTH,2
1278,YULECART,1
