,Suburb,Distance to CBD (km)
462,Wollert,25
463,Wonga Park,27.6
464,Woodstock,31.3
465,Woori Yallock,49.3
466,World Trade Centre,1.7
467,Worrowing,36.4
468,Wyndham Vale,31.2
469,Yallambie,15
470,Yan Yean,29.7
471,Yarra Glen,39.4
472,Yarrambat,24.2
473,Yarraville,7
474,Yarraville West,9.4
475,Yellingbo,47.2
476,Yering,37.8
477,Yuroke,26.1
