prop_lat,prop_long,numSchool_3km,school_lat,school_long,distance_school,numHospital_1km,hospital_lat,hospital_long,distance_hospital,numStation_1km,station_lat,station_long,distance_station,numShopping_3km,shopping_lat,shopping_long,distance_shopping,numFacility_3km,facility_lat,facility_long,distance_facility,cbd_lat,cbd_long,distance_CBD
-36.7615282,144.2899869,22.0,-36.75554,144.28602,753.8254550472984,2.0,-36.750919,144.280399,1456.4579568923066,0.0,-37.627017,144.719922,103498.44354280893,3.0,-36.765765,144.280743,948.6844186920105,57.0,-36.764208,144.288814,315.76693809415167,-37.810454,144.962379,130927.70836190453
-36.7684112,144.290465,20.0,-36.7669,144.29824,712.6512994329456,0.0,-36.271037,143.345889,100913.02898441035,0.0,-37.627017,144.719922,102770.84705992967,3.0,-36.765765,144.280743,914.6157209908861,57.0,-36.764208,144.288814,489.9664258594534,-37.810454,144.962379,130225.82811978532
-37.9125784,145.0842931,36.0,-37.90584,145.07764,949.7903136383802,0.0,-37.847714,144.997225,10507.880427847656,2.0,-37.900372,145.088308,1402.2524636330145,4.0,-37.901055,145.090211,1382.5379935548597,58.0,-37.911491,145.092806,756.5428753120962,-37.810454,144.962379,15604.413489059443
-37.5503711,143.8716351,20.0,-37.54984,143.86978,173.87726422050443,0.0,-37.799299,144.964529,100088.2488115551,0.0,-37.809939,144.962594,100252.16751060596,0.0,-37.810813,144.962812,100298.01421620774,52.0,-37.548972,143.87247,172.10560551497832,-37.810454,144.962379,100250.23314318381
-37.820344,145.134384,40.0,-37.82,145.13721,251.15789544228323,3.0,-37.817591,145.119433,1348.4816118437316,3.0,-37.82078,145.140703,557.1538244321706,6.0,-37.818677,145.12179,1121.654239413134,45.0,-37.820455,145.135795,124.55103131961536,-37.810454,144.962379,15149.385170798496
-37.8242993,145.1246278,41.0,-37.81835,145.12992,808.520476692646,3.0,-37.817591,145.119433,874.4211838210482,3.0,-37.819222,145.121429,630.6204271822172,4.0,-37.818677,145.12179,673.0301926335577,43.0,-37.825769,145.117722,628.1764467459003,-37.810454,144.962379,14334.932796080098
-37.775646,144.947037,57.0,-37.77682,144.94736,133.5938841029556,1.0,-37.778813,144.948049,363.2127795924001,4.0,-37.781193,144.952301,771.0205625054674,3.0,-37.775695,144.962004,1315.4633095375448,86.0,-37.771488,144.944093,529.8309210123595,-37.810454,144.962379,4098.526320605459
-37.7596004,144.9414751,56.0,-37.76229,144.94298,327.02297799024956,1.0,-37.754369,144.958398,1597.4129327569108,3.0,-37.761242,144.960684,1698.458841600005,2.0,-37.765648,144.922669,1784.6996628434324,86.0,-37.755137,144.939882,515.6896026335324,-37.810454,144.962379,5945.572122652153
-37.7628591,144.946364,59.0,-37.76229,144.94298,304.1293552932334,2.0,-37.754369,144.958398,1417.8942733286974,4.0,-37.761242,144.960684,1271.5965995713,2.0,-37.775695,144.962004,1981.6674247867843,86.0,-37.764936,144.945367,247.01107974827522,-37.810454,144.962379,5476.23946320031
-37.8447381,145.1095873,40.0,-37.84856,145.107,481.88704915694564,0.0,-37.900377,145.019265,10056.322773884543,0.0,-37.778394,145.031255,10088.320055518363,3.0,-37.846954,144.993643,10183.663212101555,65.0,-37.848417,145.112237,470.6087436711896,-37.810454,144.962379,13479.383133899752
-37.853623,145.155402,43.0,-37.85973,145.15181,748.7198860897995,1.0,-37.852712,145.164542,808.8415969194641,0.0,-37.822398,145.045844,10228.28316116247,5.0,-37.853784,145.149761,495.5880819328741,55.0,-37.854187,145.161755,561.2893680908198,-37.810454,144.962379,17618.392130658438
-37.7931559,144.9694316,62.0,-37.7956,144.97045,286.1245650528508,11.0,-37.799299,144.964529,807.5664682582546,1.0,-37.809939,144.962594,1960.5058768665986,24.0,-37.810696,144.965716,1977.5015515492396,79.0,-37.792875,144.969005,48.79285820614893,-37.810454,144.962379,2020.8041812960898
-37.8055054,144.9633599,60.0,-37.80205,144.96951,663.0092800161617,17.0,-37.799299,144.964529,697.7222172265035,6.0,-37.809939,144.962594,497.5643743631928,23.0,-37.810813,144.962812,592.137790065937,65.0,-37.809387,144.962518,437.90564321778226,-37.810454,144.962379,556.9659959703429
-37.894363,145.0639811,45.0,-37.90178,145.06527,832.4508137777092,0.0,-37.814678,145.119368,10107.23264937171,5.0,-37.890198,145.067375,550.620410115265,5.0,-37.884786,145.058444,1170.532324828485,77.0,-37.892519,145.070467,604.9465362617425,-37.810454,144.962379,12908.516037717172
-37.9007349,145.0635293,43.0,-37.90178,145.06527,191.91460433519552,0.0,-37.809085,145.052585,10236.201465834027,3.0,-37.890198,145.067375,1219.2769657766412,5.0,-37.884786,145.058444,1828.7173720944336,70.0,-37.903064,145.063119,261.4741723315497,-37.810454,144.962379,13402.993321353078
-37.87256319999999,145.0348183,55.0,-37.87398,145.03417,167.50286150458103,3.0,-37.861641,145.0335,1219.994024585741,2.0,-37.866253,145.029294,852.9201453810297,4.0,-37.876146,145.04284,808.9817945782087,80.0,-37.870796,145.037935,336.8306193551396,-37.810454,144.962379,9389.283454353568
-37.8799283,145.0333399,51.0,-37.87398,145.03417,665.4214249541102,2.0,-37.882707,145.016892,1476.2369815397021,3.0,-37.877459,145.042525,851.6304190732171,4.0,-37.876146,145.04284,933.8719515181815,77.0,-37.874071,145.038909,814.3201500161775,-37.810454,144.962379,9924.847564200301
-37.8890587,145.0305196,49.0,-37.88817,145.02567,436.9023161290998,5.0,-37.882707,145.016892,1388.92384583513,3.0,-37.889719,145.042223,1029.6505854355787,3.0,-37.876146,145.04284,1797.4291307259296,73.0,-37.887853,145.028137,248.3779909428975,-37.810454,144.962379,10591.9882544237
-37.9111821,145.1243493,31.0,-37.91194,145.12267,169.7234752978579,2.0,-37.9201,145.1225,1004.8075581459443,2.0,-37.924683,145.120534,1538.0857143957141,4.0,-37.992893,145.173138,10042.50865814345,47.0,-37.909935,145.118863,500.88887724878316,-37.810454,144.962379,18100.695245728926
-37.934289,145.1341561,25.0,-37.94031,145.13658,702.4404916119163,2.0,-37.921176,145.123128,1749.7581020664725,2.0,-37.938491,145.138833,621.7266554704181,1.0,-37.927444,145.143394,1111.648812258415,38.0,-37.930062,145.134576,471.46147189718107,-37.810454,144.962379,20419.260712192325
-37.5987575,141.6939533,2.0,-37.60538,141.69473,739.5605175436076,1.0,-37.599913,141.692018,213.4909734221245,0.0,-37.899378,144.661118,262999.60708301404,0.0,-36.715718,142.196203,107806.1379895127,5.0,-37.596997,141.695229,225.72794327904995,-37.810454,144.962379,288485.3089413362
-37.5987575,141.6939533,2.0,-37.60538,141.69473,739.5605175436076,1.0,-37.599913,141.692018,213.4909734221245,0.0,-37.899378,144.661118,262999.60708301404,0.0,-36.715718,142.196203,107806.1379895127,5.0,-37.596997,141.695229,225.72794327904995,-37.810454,144.962379,288485.3089413362
-37.9811702,145.2301825,25.0,-37.99023,145.22626,1064.4427942474433,3.0,-37.976459,145.218529,1147.9126953673629,0.0,-38.079,145.263511,11263.041546206001,3.0,-37.986731,145.217684,1257.8638974392104,40.0,-37.984995,145.229068,436.3710656161803,-37.810454,144.962379,30208.389700359723
