,Suburb,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population
136,GREENSBOROUGH,20291,20069,19908,19652,19623,19681,19786,19863,19914,19945,19937,19957,20018,20083,20162,20280,20332,20371,20382,20278,19947
141,MONTMORENCY,6290,6296,6280,6246,6260,6267,6307,6345,6444,6472,6466,6472,6488,6519,6603,6716,6743,6762,6776,6752,6663
142,ELTHAM,15450,15417,15393,15351,15305,15250,15207,15185,15186,15139,15050,15063,15106,15135,15176,15277,15311,15340,15354,15325,15088
144,HURSTBRIDGE,3718,3698,3649,3645,3656,3665,3662,3697,3675,3668,3660,3645,3629,3611,3603,3605,3623,3622,3618,3625,3573
145,KEW,24072,23938,23753,23667,23596,23583,23790,24371,24660,24757,24856,25123,25460,25957,26223,26504,26598,26642,26572,26115,24878
147,BALWYN,13881,13949,14012,14084,14222,14390,14489,14576,14669,14746,14784,14789,14846,14932,15019,15115,15328,15471,15536,15419,14800
150,BULLEEN,11057,11070,11046,10990,10920,10867,11013,11136,11290,11350,11376,11397,11434,11468,11504,11565,11580,11622,11615,11642,11371
151,TEMPLESTOWE,17182,17209,17187,17171,17178,17208,17267,17314,17376,17371,17344,17381,17427,17469,17550,17682,17706,17668,17658,17527,17105
153,DONCASTER,18365,18506,18540,18562,18562,18599,18717,18834,19015,19131,19343,19659,20097,20505,21076,21885,22697,23218,24147,25083,25172
155,DONVALE,15852,15842,15816,15798,15878,15992,16064,16172,16222,16223,16152,16190,16282,16399,16520,16715,16760,16789,16758,16642,16406
159,BURNLEY,456,462,467,473,478,485,493,502,512,517,522,541,559,580,594,612,623,632,639,635,601
161,RICHMOND,23305,23592,23845,24123,24393,24750,25161,25602,26117,26376,26622,27610,28511,29582,30334,31255,31820,32235,32633,32426,30652
162,HAWTHORN,19711,19812,19969,20182,20326,20531,20863,21091,21470,21721,22013,22356,23046,23629,24047,24548,24733,24783,24694,24216,22188
164,CAMBERWELL,20073,20112,20126,20144,20202,20218,20339,20479,20701,20822,20918,21144,21381,21739,22179,22646,22791,22799,22823,22583,21512
165,BURWOOD,9807,9841,9856,9957,10048,10227,10363,10650,10936,11150,11327,11564,11846,12174,12493,12900,13249,13390,13447,13467,12543
