name,type,prop_lat,prop_long,Beds,Baths,Parking,weekly_cost,suburb
11 cranberry crescent manor lakes vic 3024,House,-37.8659318,144.5889565,4,2,2,400.0,manor lakes
14 firecrest road manor lakes vic 3024,House,-37.8692407,144.5919117,4,2,2,400.0,manor lakes
26 arrowhead street manor lakes vic 3024,House,-37.8724149,144.5985935,4,2,2,400.0,manor lakes
90 kinglake drive manor lakes vic 3024,House,-37.8701943,144.5965803,4,2,2,400.0,manor lakes
39 hindmarsh drive manor lakes vic 3024,House,-37.8808353,144.6135438,4,2,2,400.0,manor lakes
108/84 la scala avenue maribyrnong vic 3032,Apartment / Unit / Flat,-37.7825107,144.8927631,2,1,1,400.0,maribyrnong
110/80 la scala avenue maribyrnong vic 3032,Apartment / Unit / Flat,-37.7818117,144.8929793,2,1,1,400.0,maribyrnong
101/66 wests road maribyrnong vic 3032,Apartment / Unit / Flat,-37.7705862,144.8822092,2,1,1,400.0,maribyrnong
1/9 moretti court marshall vic 3216,Apartment / Unit / Flat,-38.1917929,144.3556533,3,2,2,400.0,marshall
51 mitchell crescent meadow heights vic 3048,House,-37.6491258,144.9282618,3,1,2,400.0,meadow heights
1214/555 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8209711,144.9564827,1,1,0,400.0,melbourne
507/318 little lonsdale street melbourne vic 3000,Apartment / Unit / Flat,-37.8115806,144.9602845,1,1,1,400.0,melbourne
134/546 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8205058,144.9561717,0,1,0,400.0,melbourne
810/422 collins street melbourne vic 3000,Studio,-37.8166878,144.959966,0,1,0,400.0,melbourne
1102/22 coromandel place melbourne vic 3000,Apartment / Unit / Flat,-37.8130748,144.9692397,1,1,0,400.0,melbourne
42/140 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.816398,144.9703476,1,1,0,400.0,melbourne
0614/233 collins st melbourne vic 3000,Apartment / Unit / Flat,-37.8160052,144.9661758,1,1,0,400.0,melbourne
2912/350 william street melbourne vic 3000,Apartment / Unit / Flat,-37.8112344,144.9564823,1,1,0,400.0,melbourne
3804/639 lonsdale street melbourne vic 3000,Apartment / Unit / Flat,-37.8150689,144.9534096,1,1,0,400.0,melbourne
404/450 st kilda road melbourne vic 3004,Apartment / Unit / Flat,-37.8387716,144.975576,1,1,0,400.0,melbourne
1111/250 elizabeth street melbourne vic 3000,Apartment / Unit / Flat,-37.812564,144.9628184,1,1,0,400.0,melbourne
29/400 little collins street melbourne vic 3000,Apartment / Unit / Flat,-37.815794,144.961354,1,1,0,400.0,melbourne
201/108 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8161924,144.971196,2,1,0,400.0,melbourne
22/187 collins street melbourne vic 3000,Apartment / Unit / Flat,-37.81540469999999,144.9678522,1,1,0,400.0,melbourne
1217/228 a'beckett street melbourne vic 3000,Apartment / Unit / Flat,-37.8103101,144.9566423,1,1,0,400.0,melbourne
205/500 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8200193,144.9578273,1,1,0,400.0,melbourne
412/7 katherine place melbourne vic 3000,Apartment / Unit / Flat,-37.8201858,144.9564628,1,1,0,400.0,melbourne
1111/408 lonsdale street melbourne vic 3000,Apartment / Unit / Flat,-37.8125979,144.9604012,2,1,0,400.0,melbourne
1305/280 spencer street melbourne vic 3000,Apartment / Unit / Flat,-37.8139297,144.952069,1,1,0,400.0,melbourne
904/33 rose lane melbourne vic 3000,Apartment / Unit / Flat,-37.8150137,144.9538694,1,1,0,400.0,melbourne
208/565 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8210586,144.9559072,1,1,0,400.0,melbourne
309/400 st kilda road melbourne vic 3004,Apartment / Unit / Flat,-37.8345779,144.9738728,1,1,1,400.0,melbourne
1008/380 little lonsdale street melbourne vic 3000,Apartment / Unit / Flat,-37.8121026,144.9581291,1,1,0,400.0,melbourne
10 stockwell street melton south vic 3338,House,-37.7154897,144.5752953,4,2,2,400.0,melton south
163 exford road melton south vic 3338,House,-37.7183831,144.5717412,3,2,4,400.0,melton south
32 fairhaven boulevard melton west vic 3337,House,-37.6877129,144.5536733,3,2,2,400.0,melton west
56 long forest avenue melton west vic 3337,House,-37.6619943,144.5380491,4,2,2,400.0,melton west
22 scotchmer crescent mernda vic 3754,House,-37.5997524,145.0701627,3,2,2,400.0,mernda
6 mcculloch street mernda vic 3754,House,-37.590814,145.083733,3,2,2,400.0,mernda
12 rosette parade mickleham vic 3064,Townhouse,-37.5707615,144.8935104,3,2,2,400.0,mickleham
138 lemon avenue mildura vic 3500,House,-34.1912919,142.1618075,3,1,0,400.0,mildura
1 wingillie street mildura vic 3500,Townhouse,-34.1843216,142.1514874,3,1,1,400.0,mildura
79 magnolia avenue mildura vic 3500,House,-34.1895319,142.165083,3,1,2,400.0,mildura
1 eastside drive mildura vic 3500,House,-34.1963044,142.1849003,4,2,2,400.0,mildura
8 isaiah way mildura vic 3500,House,-34.1968035,142.183993,3,2,2,400.0,mildura
12 stephanie street mildura vic 3500,House,-34.2078492,142.1193297,3,2,2,400.0,mildura
13 eastside drive mildura vic 3500,House,-34.1963934,142.1837856,4,2,2,400.0,mildura
1/13 essue court mill park vic 3082,Apartment / Unit / Flat,-37.6527749,145.0469468,3,1,1,400.0,mill park
2 berala place mill park vic 3082,House,-37.6519064,145.0511248,3,2,1,400.0,mill park
36 hawker st moe vic 3825,House,-38.1805492,146.2530077,3,1,2,400.0,moe
846 mount alexander rd moonee ponds vic 3039,House,-37.758552,144.9202587,2,1,1,400.0,moonee ponds
12/108 maribyrnong road moonee ponds vic 3039,Apartment / Unit / Flat,-37.7716077,144.9159711,2,1,1,400.0,moonee ponds
4/26 grandison street moonee ponds vic 3039,Apartment / Unit / Flat,-37.7603557,144.9186557,2,1,1,400.0,moonee ponds
23 manchester road mooroolbark vic 3138,Townhouse,-37.7857557,145.3106015,2,1,1,400.0,mooroolbark
1140 princes highway moriac vic 3240,House,-38.2123183,144.1766908,4,2,2,400.0,moriac
31 jane street morwell vic 3840,House,-38.2321795,146.3922811,3,1,1,400.0,morwell
10 haigh place mount pleasant vic 3350,House,-37.5758811,143.8553066,4,2,2,400.0,mount pleasant
2/20 princetown rd mount waverley vic 3149,Villa,-37.8815083,145.1268965,2,1,1,400.0,mount waverley
2/10 ling court mulgrave vic 3170,House,-37.93575,145.204258,2,1,1,400.0,mulgrave
1/26 vincent street mulgrave vic 3170,Apartment / Unit / Flat,-37.9311629,145.1630443,3,1,1,400.0,mulgrave
33 glencairn street mulgrave vic 3170,House,-37.9301682,145.1650712,3,1,1,400.0,mulgrave
94 woodgate road murraydale vic 3586,House,-35.2835937,143.5689991,3,1,2,400.0,murraydale
14 robert street myrtleford vic 3737,House,-36.5552745,146.732673,3,1,1,400.0,myrtleford
13 st james court narre warren vic 3805,House,-38.0353305,145.3125012,3,1,2,400.0,narre warren
10 lantana drive narre warren vic 3805,House,-38.03601750000001,145.3213586,3,2,2,400.0,narre warren
238 ormond road narre warren south vic 3805,House,-38.0529878,145.2871157,3,1,1,400.0,narre warren south
85 lofven street nerrina vic 3350,House,-37.5462711,143.8880285,3,2,2,400.0,nerrina
5 durkin street newport vic 3015,House,-37.8439222,144.8804927,2,1,0,400.0,newport
1/184 noble street newtown vic 3220,House,-38.1525826,144.3353512,2,1,1,400.0,newtown
60 sherbourne terrace newtown vic 3220,House,-38.1407478,144.3241399,2,1,2,400.0,newtown
338 shannon avenue newtown vic 3220,House,-38.1509937,144.3347385,4,1,1,400.0,newtown
26 cuthbert street niddrie vic 3042,House,-37.7379552,144.8834046,4,1,2,400.0,niddrie
44 chandler road noble park vic 3174,House,-37.9659868,145.187046,3,1,2,400.0,noble park
2/124-126 harold road noble park vic 3174,Apartment / Unit / Flat,-37.976926,145.1616138,3,1,1,400.0,noble park
3/19 briggs crescent noble park vic 3174,Townhouse,-37.966747,145.1808133,2,2,1,400.0,noble park
3 wyuna drive noble park vic 3174,House,-37.9564894,145.1800369,3,1,2,400.0,noble park
15/196 corrigan road noble park vic 3174,Apartment / Unit / Flat,-37.9710363,145.1655101,2,1,0,400.0,noble park
48 joffre street noble park vic 3174,House,-37.973331,145.1921149,3,1,2,400.0,noble park
7/84-86 buckley street noble park vic 3174,Apartment / Unit / Flat,-37.9715329,145.1733106,2,1,1,400.0,noble park
10 finch street norlane vic 3214,House,-38.0880718,144.3556188,4,1,4,400.0,norlane
108 holdsworth road north bendigo vic 3550,House,-36.7342033,144.2705946,3,1,1,400.0,north bendigo
3/16 dooley street north bendigo vic 3550,Apartment / Unit / Flat,-36.7438727,144.2859588,3,1,2,400.0,north bendigo
7 hardwicke street north melbourne vic 3051,House,-37.7981592,144.9469132,3,1,0,400.0,north melbourne
8/48 curran street north melbourne vic 3051,Apartment / Unit / Flat,-37.792029,144.9430106,2,1,1,400.0,north melbourne
261 springfield road nunawading vic 3131,House,-37.8119258,145.1680469,2,1,1,400.0,nunawading
4/108 mount pleasant road nunawading vic 3131,Apartment / Unit / Flat,-37.8305252,145.1793223,2,1,1,400.0,nunawading
1/32 winifred street oak park vic 3046,House,-37.7208454,144.9164962,3,1,2,400.0,oak park
26 devereaux street oak park vic 3046,House,-37.7143025,144.9108421,3,1,2,400.0,oak park
7/9-11 nerissa grove oak park vic 3046,Townhouse,-37.7202505,144.9236128,2,2,2,400.0,oak park
5 curie avenue oak park vic 3046,House,-37.7162759,144.9261069,3,1,3,400.0,oak park
5/83 drummond street oakleigh vic 3166,Apartment / Unit / Flat,-37.8924137,145.0906619,2,1,1,400.0,oakleigh
102/7-9 station street oakleigh vic 3166,Apartment / Unit / Flat,-37.8990055,145.0885255,2,1,1,400.0,oakleigh
46 cleek street oakleigh south vic 3167,House,-37.9134674,145.087783,3,1,2,400.0,oakleigh south
8 juniper street officer vic 3809,House,-38.0620492,145.397197,3,2,1,400.0,officer
13 newbury street pakenham vic 3810,House,-38.0778855,145.490255,3,2,2,400.0,pakenham
20 luella lane pakenham vic 3810,Townhouse,-38.0741224,145.4383679,3,2,2,400.0,pakenham
3/12 john street pakenham vic 3810,Apartment / Unit / Flat,-38.0731103,145.4854818,3,2,2,400.0,pakenham
17 torre road pakenham vic 3810,House,-38.0565155,145.488382,4,2,2,400.0,pakenham
1/30 silver gum drive pakenham vic 3810,House,-38.0564757,145.4957501,3,2,1,400.0,pakenham
6 debra avenue pakenham vic 3810,Townhouse,-38.07881950000001,145.4503414,3,2,1,400.0,pakenham
30 luella lane pakenham vic 3810,Townhouse,-38.0741224,145.4383679,3,2,2,400.0,pakenham
2/215 como parade east parkdale vic 3195,Apartment / Unit / Flat,-37.99503139999999,145.0793474,2,1,1,400.0,east parkdale
20/7 manningham street parkville vic 3052,Apartment / Unit / Flat,-37.7883342,144.9428365,2,1,1,400.0,parkville
106/459 royal parade parkville vic 3052,Apartment / Unit / Flat,-37.7821863,144.9588174,1,1,1,400.0,parkville
34 wicklow street pascoe vale vic 3044,House,-37.7184298,144.9411595,2,1,2,400.0,pascoe vale
9 wicklow st pascoe vale vic 3044,House,-37.7190359,144.943052,3,1,2,400.0,pascoe vale
2/535-539 pascoe vale road pascoe vale vic 3044,Townhouse,-37.7344578,144.924617,2,2,1,400.0,pascoe vale
6/162-166 cumberland road pascoe vale vic 3044,Townhouse,-37.7271907,144.9395251,2,2,1,400.0,pascoe vale
13 elgin street pascoe vale south vic 3044,House,-37.7474226,144.9467726,3,2,1,400.0,pascoe vale south
25 louisville avenue pascoe vale south vic 3044,House,-37.7506836,144.9383638,3,1,1,400.0,pascoe vale south
7/24-26 langford parade paynesville vic 3880,Apartment / Unit / Flat,-37.9163843,147.7203783,2,1,1,400.0,paynesville
22 gardener drive point cook vic 3030,House,-37.90611699999999,144.7229053,3,2,1,400.0,point cook
44 grassbird drive point cook vic 3030,House,-37.9042636,144.7226885,4,2,2,400.0,point cook
4 beacon avenue point cook vic 3030,House,-37.8834557,144.7290829,4,2,3,400.0,point cook
195 saltwater promenade point cook vic 3030,House,-37.9100321,144.773627,3,2,2,400.0,point cook
21 neptune drive point cook vic 3030,House,-37.87928429999999,144.7331587,3,2,2,400.0,point cook
43 postema drive point cook vic 3030,House,-37.9150757,144.7652303,4,2,1,400.0,point cook
9 windsong way point cook vic 3030,House,-37.8928291,144.752296,3,2,2,400.0,point cook
17 whistler crescent point cook vic 3030,House,-37.8787453,144.7462454,3,1,1,400.0,point cook
58 middleton drive point cook vic 3030,House,-37.9074451,144.7591625,4,2,2,400.0,point cook
6 gillian place point cook vic 3030,House,-37.9048061,144.7345745,4,2,2,400.0,point cook
23 kittyhawk road point cook vic 3030,House,-37.9131472,144.7614474,4,2,2,400.0,point cook
10 hereford street portarlington vic 3223,House,-38.118677,144.6370672,3,1,1,400.0,portarlington
14 drysdale street portarlington vic 3223,House,-38.1147854,144.6584969,4,1,1,400.0,portarlington
8/21 irving avenue prahran vic 3181,Apartment / Unit / Flat,-37.8575548,145.0067341,2,1,1,400.0,prahran
35 donald street prahran vic 3181,Apartment / Unit / Flat,-37.8480862,144.9864625,2,1,1,400.0,prahran
8a/10 clifton street prahran vic 3181,Apartment / Unit / Flat,-37.8510985,144.9953926,1,1,1,400.0,prahran
4/36 aberdeen road prahran vic 3181,Apartment / Unit / Flat,-37.8527931,145.004259,2,1,1,400.0,prahran
402/356 bell street preston vic 3072,Apartment / Unit / Flat,-37.7446427,145.0008156,2,1,1,400.0,preston
503/49 plenty road preston vic 3072,Apartment / Unit / Flat,-37.7499106,145.0030635,2,1,1,400.0,preston
3/96 beauchamp street preston vic 3072,Apartment / Unit / Flat,-37.7371176,145.0043514,2,1,0,400.0,preston
4/1-5 holly street preston vic 3072,Townhouse,-37.7356847,145.031624,2,1,1,400.0,preston
108/47-53 plenty road preston vic 3072,Apartment / Unit / Flat,-37.7499106,145.0030635,2,1,1,400.0,preston
148 albert street preston vic 3072,House,-37.736719,145.0242981,3,1,2,400.0,preston
207/7 warrs avenue preston vic 3072,Apartment / Unit / Flat,-37.7496413,145.0004713,2,1,1,400.0,preston
7/23 hallam street quarry hill vic 3550,Apartment / Unit / Flat,-36.7738796,144.2863285,2,1,1,400.0,quarry hill
7 immacolata rise red cliffs vic 3496,House,-34.3060316,142.1992159,3,2,2,400.0,red cliffs
40 andrews avenue reservoir vic 3073,House,-37.7297286,145.032694,3,1,2,400.0,reservoir
2/1 griffiths street reservoir vic 3073,Apartment / Unit / Flat,-37.7145942,144.9958875,2,2,1,400.0,reservoir
8/14 merino street reservoir vic 3073,Apartment / Unit / Flat,-37.707265,145.033008,2,1,1,400.0,reservoir
4/68 strathmerton street reservoir vic 3073,Townhouse,-37.7130316,145.0168502,2,1,1,400.0,reservoir
47 steane street reservoir vic 3073,House,-37.7301253,145.0196803,2,1,1,400.0,reservoir
30 clingin street reservoir vic 3073,House,-37.7286163,145.0335121,4,1,2,400.0,reservoir
45b barry street reservoir vic 3073,Apartment / Unit / Flat,-37.7095213,145.0030323,2,1,1,400.0,reservoir
2 carson street reservoir vic 3073,House,-37.6981904,145.0047642,4,1,1,400.0,reservoir
2/85 miranda road reservoir vic 3073,Apartment / Unit / Flat,-37.7070185,145.0171413,2,1,2,400.0,reservoir
55a arundel avenue reservoir vic 3073,Apartment / Unit / Flat,-37.696776,145.0162475,2,1,1,400.0,reservoir
210b/51 johnson street reservoir vic 3073,Apartment / Unit / Flat,-37.6955409,145.0121874,2,2,1,400.0,reservoir
4/552 gilbert road reservoir vic 3073,Townhouse,-37.7280033,144.9921001,2,1,1,400.0,reservoir
2/33 storey road reservoir vic 3073,Apartment / Unit / Flat,-37.72390499999999,145.012651,2,1,2,400.0,reservoir
15 daventry street reservoir vic 3073,House,-37.714205,145.001144,3,1,4,400.0,reservoir
1/33 nisbett street reservoir vic 3073,House,-37.7280035,145.0323495,3,1,1,400.0,reservoir
2/10 pratt street reservoir vic 3073,Townhouse,-37.710462,145.0096192,2,1,1,400.0,reservoir
4/37 purinuan road reservoir vic 3073,Townhouse,-37.7096442,145.0309287,2,2,1,400.0,reservoir
g08/33 judd street richmond vic 3121,Apartment / Unit / Flat,-37.8177068,144.9953675,1,1,1,400.0,richmond
1/24 bennett street richmond vic 3121,Apartment / Unit / Flat,-37.8123657,145.0059593,2,1,1,400.0,richmond
104/8 garfield street richmond vic 3121,Apartment / Unit / Flat,-37.81210799999999,144.992552,1,1,1,400.0,richmond
220/253 bridge road richmond vic 3121,Apartment / Unit / Flat,-37.8183625,144.9979542,1,1,1,400.0,richmond
1/32 new street ringwood vic 3134,Townhouse,-37.824215,145.220258,2,1,1,400.0,ringwood
2/37 canterbury road ringwood east vic 3135,Apartment / Unit / Flat,-37.8247849,145.2523793,2,1,1,400.0,ringwood east
2/100 mt dandenong road ringwood east vic 3135,Apartment / Unit / Flat,-37.80871,145.251103,2,1,1,400.0,ringwood east
35 rosette crescent rockbank vic 3335,House,-37.7359644,144.6553131,4,2,2,400.0,rockbank
8 mcgrath way rockbank vic 3335,House,-37.734204,144.647104,3,2,2,400.0,rockbank
35 dandelion crescent rockbank vic 3335,House,-37.7341559,144.6668051,3,2,2,400.0,rockbank
1/23 station road rosanna vic 3084,Apartment / Unit / Flat,-37.745151,145.069491,2,1,1,400.0,rosanna
1/196 rosanna road rosanna vic 3084,House,-37.7421571,145.0732212,3,1,1,400.0,rosanna
36 murray-anderson road rosebud vic 3939,House,-38.3573215,144.911745,2,1,2,400.0,rosebud
89 third avenue rosebud vic 3939,House,-38.36252899999999,144.8980734,2,1,2,400.0,rosebud
16 hood street rosedale vic 3847,House,-38.1531402,146.7860393,3,1,2,400.0,rosedale
15 bentham street roxburgh park vic 3064,Townhouse,-37.62149,144.9294613,4,2,2,400.0,roxburgh park
10 athol avenue roxburgh park vic 3064,House,-37.6152199,144.9289335,3,2,2,400.0,roxburgh park
33 reid street rutherglen vic 3685,House,-36.0523706,146.45972,2,2,1,400.0,rutherglen
4/44 nepean highway seaford vic 3198,Apartment / Unit / Flat,-38.0910282,145.1258558,2,1,1,400.0,seaford
3 anthony court seaford vic 3198,House,-38.1087361,145.1351908,3,1,1,400.0,seaford
44 baudinette drive sebastopol vic 3356,House,-37.5937031,143.8277905,4,2,2,400.0,sebastopol
3 matthew court sebastopol vic 3356,House,-37.6025129,143.8374195,4,2,3,400.0,sebastopol
177 balaclava road shepparton vic 3630,House,-36.3673524,145.4113226,4,1,3,400.0,shepparton
12 sheppard street shepparton vic 3630,House,-36.3946368,145.3978734,3,1,2,400.0,shepparton
1/41 corio street shepparton vic 3630,Townhouse,-36.37110759999999,145.4056049,2,2,1,400.0,shepparton
42 annerley avenue shepparton vic 3630,House,-36.3697789,145.4164261,3,2,2,400.0,shepparton
77 corio street shepparton vic 3630,Townhouse,-36.3742896,145.4049653,2,1,1,400.0,shepparton
6/50 mccormicks road skye vic 3977,Apartment / Unit / Flat,-38.1125188,145.195499,2,2,1,400.0,skye
302 doveton street north soldiers hill vic 3350,House,-37.5543103,143.8565134,4,1,2,400.0,north soldiers hill
7/21 raymond street somerville vic 3912,Apartment / Unit / Flat,-38.2213728,145.1726693,3,2,2,400.0,somerville
16/69 dorcas street south melbourne vic 3205,Apartment / Unit / Flat,-37.831116,144.967873,1,1,1,400.0,south melbourne
424/85 market street south melbourne vic 3205,Apartment / Unit / Flat,-37.8302556,144.9579151,1,1,0,400.0,south melbourne
4/40 gorge road south morang vic 3752,Townhouse,-37.6513274,145.0906527,2,2,1,400.0,south morang
2/191 gordons road south morang vic 3752,Townhouse,-37.6361069,145.0808127,3,2,2,400.0,south morang
10/40 gorge road south morang vic 3752,House,-37.6513274,145.0906527,2,2,1,400.0,south morang
3/32 adams street south yarra vic 3141,Apartment / Unit / Flat,-37.836171,144.977607,2,1,0,400.0,south yarra
15/85 caroline street south yarra vic 3141,Apartment / Unit / Flat,-37.8354364,144.9881621,1,1,1,400.0,south yarra
130/471 malvern road south yarra vic 3141,Apartment / Unit / Flat,-37.8478382,145.002178,1,1,1,400.0,south yarra
1103/10 claremont street south yarra vic 3141,Apartment / Unit / Flat,-37.8382582,144.9939508,1,1,0,400.0,south yarra
506/20 garden street south yarra vic 3141,Apartment / Unit / Flat,-37.8433374,144.9962128,1,1,0,400.0,south yarra
511/8 garden street south yarra vic 3141,Apartment / Unit / Flat,-37.8430457,144.9955705,1,1,0,400.0,south yarra
15/245 williams road south yarra vic 3141,Apartment / Unit / Flat,-37.84300650000001,145.0040238,2,1,1,400.0,south yarra
2107/283 city road southbank vic 3006,Apartment / Unit / Flat,-37.82730979999999,144.9588705,1,1,0,400.0,southbank
1703/250 city road southbank vic 3006,Apartment / Unit / Flat,-37.8257343,144.9596645,1,1,0,400.0,southbank
605/58 clarke street southbank vic 3006,Apartment / Unit / Flat,-37.8278376,144.9593337,1,1,0,400.0,southbank
2101/70 dorcas street southbank vic 3006,Apartment / Unit / Flat,-37.830541,144.967508,1,1,0,400.0,southbank
1701a/60 dorcas street southbank vic 3006,Apartment / Unit / Flat,-37.8304682,144.9679382,1,1,0,400.0,southbank
4 young street springvale vic 3171,House,-37.9340757,145.1545924,3,1,2,400.0,springvale
5 shaun court springvale vic 3171,House,-37.9604981,145.1499788,3,2,3,400.0,springvale
26 peter street springvale vic 3171,House,-37.9615748,145.1592711,3,1,3,400.0,springvale
10 gray street springvale vic 3171,House,-37.9380001,145.1562741,3,1,2,400.0,springvale
17/25-37 spring road springvale south vic 3172,House,-37.9642849,145.1439997,2,2,2,400.0,springvale south
152 alfrieda street st albans vic 3021,House,-37.7354444,144.802456,3,1,2,400.0,st albans
1/53 errington road st albans vic 3021,Apartment / Unit / Flat,-37.742881,144.8188141,3,1,1,400.0,st albans
46 view street st albans vic 3021,House,-37.7410196,144.8048392,3,1,4,400.0,st albans
14 horham court st albans vic 3021,House,-37.7465364,144.8148021,4,1,2,400.0,st albans
106 east esplanade st albans vic 3021,House,-37.7307576,144.7948407,1,1,0,400.0,st albans
69 errington road st albans vic 3021,House,-37.7420918,144.8197411,3,1,1,400.0,st albans
3/11-13 roseview way st albans park vic 3219,Apartment / Unit / Flat,-38.1927367,144.3977245,2,1,1,400.0,albans park
208/68-72 acland street st kilda vic 3182,Apartment / Unit / Flat,-37.8667773,144.9783917,1,1,1,400.0,st kilda
108/111 inkerman street st kilda vic 3182,Apartment / Unit / Flat,-37.864952,144.9867827,1,1,1,400.0,st kilda
142b st kilda road st kilda vic 3182,Apartment / Unit / Flat,-37.8602515,144.9847129,1,1,0,400.0,st kilda
10/33 charnwood road st kilda vic 3182,Apartment / Unit / Flat,-37.8591694,144.9874092,1,1,1,400.0,st kilda
15/7 alfred square st kilda vic 3182,Apartment / Unit / Flat,-37.8647367,144.9745858,2,1,1,400.0,kilda
3/79 barkly street st kilda vic 3182,Apartment / Unit / Flat,-37.8625593,144.9818149,2,1,1,400.0,st kilda
215/63 acland street st kilda east vic 3183,Apartment / Unit / Flat,-37.86625160000001,144.97706,1,1,1,400.0,kilda east
6/310 inkerman street st kilda east vic 3183,Apartment / Unit / Flat,-37.8665363,145.0020494,2,1,1,400.0,kilda east
6/23 carlisle avenue st kilda east vic 3183,Apartment / Unit / Flat,-37.8710351,144.9965761,2,1,1,400.0,kilda east
4/220 alma road st kilda east vic 3183,Apartment / Unit / Flat,-37.863198,145.0090493,2,1,1,400.0,kilda east
12/321 beaconsfield parade st kilda west vic 3182,Apartment / Unit / Flat,-37.8569059,144.9681748,1,1,1,400.0,kilda west
2/3 mckay crescent strathdale vic 3550,Apartment / Unit / Flat,-36.7635522,144.3074496,3,2,1,400.0,strathdale
3/79-81 mascoma street strathmore vic 3041,Apartment / Unit / Flat,-37.725332,144.915633,3,1,1,400.0,strathmore
35 brosnan crescent strathmore vic 3041,House,-37.7245531,144.9178937,3,1,2,400.0,strathmore
1/369 napier street strathmore vic 3041,Apartment / Unit / Flat,-37.73208109999999,144.918545,2,1,1,400.0,strathmore
9 stevenage drive strathtulloh vic 3338,House,-37.7227726,144.5957951,4,2,2,400.0,strathtulloh
1 hatfield street strathtulloh vic 3338,House,-37.7230985,144.5954233,3,2,2,400.0,strathtulloh
14 trafalgar street strathtulloh vic 3338,House,-37.7345224,144.6060469,4,2,2,400.0,strathtulloh
72 ligar street sunbury vic 3429,House,-37.5814704,144.7206746,3,1,1,400.0,sunbury
1 brack court sunbury vic 3429,House,-37.5726069,144.7131894,3,1,2,400.0,sunbury
41 lawson street sunbury vic 3429,House,-37.5846708,144.7145405,3,3,1,400.0,sunbury
79 macedon street sunbury vic 3429,House,-37.5826176,144.7400665,3,2,0,400.0,sunbury
4 atkinson close sunbury vic 3429,House,-37.5718786,144.6958408,3,1,2,400.0,sunbury
2/168 o'shanassy street sunbury vic 3429,Apartment / Unit / Flat,-37.584272,144.727176,2,1,1,400.0,sunbury
42 sunderland bay road sunderland bay vic 3922,House,-38.5063948,145.2782306,3,1,1,400.0,sunderland bay
310/1 foundry road sunshine vic 3020,Apartment / Unit / Flat,-37.7797268,144.8324763,2,1,1,400.0,sunshine
13 baker street sunshine vic 3020,House,-37.7865963,144.8433662,3,1,2,400.0,sunshine
1/93 cumberland street sunshine north vic 3020,Townhouse,-37.7670119,144.8442899,2,2,2,400.0,sunshine north
31 heron avenue sunshine north vic 3020,House,-37.759244699999996,144.8307152,3,1,0,400.0,sunshine north
55 fairbairn road sunshine west vic 3020,House,-37.7995668,144.818109,3,1,1,400.0,sunshine west
14 estelle street sunshine west vic 3020,House,-37.7870623,144.8112806,3,1,4,400.0,sunshine west
28 hilma street sunshine west vic 3020,House,-37.7914687,144.80432389999999,3,1,2,400.0,sunshine west
5 wiringa court sunshine west vic 3020,House,-37.7990374,144.7970243,3,2,4,400.0,sunshine west
1/969 riversdale road surrey hills vic 3127,Apartment / Unit / Flat,-37.8356747,145.0975344,2,1,1,500.0,surrey hills
1/22 chestnut street surrey hills vic 3127,Apartment / Unit / Flat,-37.834966,145.111168,2,1,1,400.0,surrey hills
7/520 melton highway sydenham vic 3037,Townhouse,-37.694226,144.765846,2,2,1,400.0,sydenham
2875 katamatite-shepparton main road tallygaroopna vic 3634,House,-36.2501687,145.4797759,3,1,1,400.0,tallygaroopna
26 bodalla drive tarneit vic 3029,House,-37.8630066,144.6498153,4,2,2,400.0,tarneit
7 ebony way tarneit vic 3029,House,-37.8397527,144.6533318,4,2,2,400.0,tarneit
45 hope way tarneit vic 3029,House,-37.8632037,144.6566108,3,2,2,400.0,tarneit
16 brookwood street tarneit vic 3029,House,-37.8327069,144.6676276,4,2,2,400.0,tarneit
7 copper way tarneit vic 3029,House,-37.8378366,144.6470357,4,2,2,400.0,tarneit
43 emperor pde tarneit vic 3029,House,-37.8498218,144.6669631,3,2,1,400.0,tarneit
15 lucas terrace taylors hill vic 3037,House,-37.7206972,144.74985,3,2,1,400.0,taylors hill
7 ensign grove taylors lakes vic 3038,House,-37.7105403,144.7889955,3,1,2,400.0,taylors lakes
2/30 highlands road thomastown vic 3074,Apartment / Unit / Flat,-37.6787674,145.0109095,3,1,2,400.0,thomastown
115 main street thomastown vic 3074,House,-37.6789932,144.999589,3,1,0,400.0,thomastown
13 newhaven street thomastown vic 3074,House,-37.67397920000001,144.9896471,3,1,2,400.0,thomastown
5 cambridge court thomastown vic 3074,House,-37.6833894,145.0332107,3,1,2,400.0,thomastown
9 currajong street thomastown vic 3074,House,-37.6773988,145.0170224,3,1,5,400.0,thomastown
103/133 miller street thornbury vic 3071,Apartment / Unit / Flat,-37.7512589,144.9884851,1,1,0,400.0,thornbury
23 houston drive thornhill park vic 3335,House,-37.7199524,144.6331433,4,2,2,400.0,thornhill park
7 horsley street thornhill park vic 3335,House,-37.7086099,144.6241692,4,2,2,400.0,thornhill park
9 ravine place thornhill park vic 3335,House,-37.7216239,144.6346338,4,2,2,400.0,thornhill park
