,Suburb,Schools
447,Fairfield,1
448,Falls Creek,1
449,Fawkner,3
450,Ferntree Gully,6
451,Ferny Creek,1
452,Fish Creek,1
453,Fitzroy,1
454,Fitzroy North,3
455,Flemington,3
456,Flowerdale,1
457,Footscray,4
458,Forest Hill,1
459,Forrest,1
460,Foster,2
461,Frankston,12
462,Frankston North,3
463,Frankston South,2
464,Fraser Rise,1
465,French Island,1
466,GEELONG,2
467,GEELONG EAST,1
468,GEELONG WEST,1
469,GISBORNE,1
470,GLADSTONE PARK,1
471,GLEN HUNTLY,1
472,GLEN IRIS,4
473,GLEN WAVERLEY,3
474,GLENROY,2
475,GORDON,1
476,GREENSBOROUGH,1
477,GREENSBOROUGH NORTH,1
478,GREENVALE,2
479,GREENVALE LAKES,1
480,GROVEDALE,1
481,Garfield,1
482,Geelong,1
483,Geelong East,2
484,Geelong West,1
485,Gembrook,1
486,Girgarre,1
487,Gisborne,3
488,Gladstone Park,3
489,Gladysdale,1
490,Glen Huntly,1
491,Glen Iris,2
492,Glen Park,1
493,Glen Waverley,10
494,Glengarry,1
495,Glenrowan,1
496,Glenroy,5
497,Golden Square,2
498,Goornong,1
499,Gordon,1
500,Gormandale,1
501,Goroke,1
502,Grahamvale,1
503,Grasmere,1
504,Great Western,1
505,Greensborough,6
506,Greenvale,3
507,Greta South,1
508,Grovedale,4
509,Gruyere,1
510,Gunbower,1
511,HADFIELD,1
512,HAMILTON,4
513,HAMPTON,2
514,HAMPTON PARK,1
515,HASTINGS,1
516,HAWTHORN,4
517,HAWTHORN EAST,3
518,HEALESVILLE,2
519,HEATHCOTE,1
520,HEIDELBERG,2
521,HEIDELBERG WEST,1
522,HERNE HILL,1
523,HEYFIELD,1
524,HIGHETT,1
525,HIGHTON,1
526,HILLSIDE,1
527,HOPETOUN,1
528,HOPPERS CROSSING,1
529,HOPPERS CROSSING NORTH,1
530,HORSHAM,3
531,HUGHESDALE,1
532,Haddon,1
533,Hallam,2
534,Halls Gap,1
535,Hamilton,5
536,Hamlyn Heights,4
537,Hampton,1
538,Hampton East,1
539,Hampton Park,5
540,Harcourt,1
541,Harkaway,1
542,Harkness,1
543,Harrietville,1
544,Hastings,3
545,Hawkesdale,1
546,Hawthorn,3
547,Hawthorn East,3
548,Hazelwood North,1
