,Suburb,2021 rent,2018_income,shopping_count,population,crime_rate,num_passenger,num_station,num facilites,num hospital,num school
131,NORTHCOTE,500,82863.0,0.0,25657.0,0.0919464539904099,564150.0,5.0,6.0,0.0,2.0
133,RESERVOIR,380,53779.0,0.0,27930.0,0.03941663565461,682500.0,3.0,15.0,0.0,3.0
134,THOMASTOWN,360,48638.0,0.0,20211.0,0.03941663565461,522500.0,2.0,10.0,0.0,0.0
135,LALOR,360,49055.0,0.0,23663.0,0.03941663565461,243550.0,1.0,6.0,0.0,1.0
136,THORNBURY,410,71753.0,0.0,19152.0,0.049926901475,190250.0,1.0,10.0,0.0,1.0
138,BAYSWATER,390,55155.0,2.0,12707.0,0.0323313815373599,213500.0,1.0,14.0,0.0,1.0
141,LILYDALE,420,64199.0,1.0,19783.0,0.0323313815373599,244300.0,1.0,5.0,1.0,4.0
143,RINGWOOD,410,59805.0,2.0,18919.0,0.03213949350435,1038000.0,2.0,21.0,1.0,3.0
144,ROWVILLE,460,60538.0,2.0,15540.0,0.04312729823756,0.0,0.0,13.0,0.0,1.0
145,WANTIRNA,450,58059.0,0.0,14450.0,0.03213949350435,0.0,0.0,9.0,2.0,1.0
146,SCORESBY,450,59267.0,0.0,6274.0,0.04312729823756,0.0,0.0,4.0,0.0,1.0
148,BERWICK,400,67504.0,2.0,23187.0,0.0323313815373599,361200.0,1.0,7.0,3.0,3.0
149,CRANBOURNE,395,50926.0,2.0,21580.0,0.07101324626491,407700.0,1.0,11.0,1.0,3.0
150,DANDENONG,350,45908.0,2.0,30798.0,0.04312729823756,1159900.0,1.0,14.0,3.0,2.0
151,DANDENONG NORTH,360,50071.0,0.0,22839.0,0.04312729823756,0.0,0.0,2.0,0.0,2.0
154,HAMPTON PARK,380,49343.0,1.0,26384.0,0.07101324626491,0.0,0.0,0.0,0.0,1.0
156,PAKENHAM,360,55195.0,2.0,33639.0,0.04043332717425,473550.0,2.0,11.0,0.0,3.0
157,SPRINGVALE,390,43017.0,1.0,22537.0,0.04312729823756,933100.0,2.0,16.0,0.0,3.0
158,DROMANA,420,59787.0,1.0,5384.0,0.03802085090862,0.0,0.0,4.0,0.0,0.0
159,PORTSEA,420,61551.0,0.0,1665.0,0.03802085090862,0.0,0.0,3.0,0.0,0.0
160,FRANKSTON,375,55331.0,3.0,23908.0,0.03802085090862,580650.0,2.0,33.0,5.0,3.0
161,HASTINGS,420,56871.0,0.0,10908.0,0.03802085090862,10500.0,1.0,7.0,0.0,1.0
162,FLINDERS,420,82179.0,0.0,1720.0,0.03802085090862,0.0,0.0,1.0,0.0,0.0
164,MORNINGTON,520,62275.0,3.0,25909.0,0.03802085090862,0.0,0.0,17.0,3.0,2.0
166,SEAFORD,380,58360.0,0.0,17359.0,0.04084905316165,247200.0,2.0,16.0,0.0,1.0
167,CARRUM DOWNS,380,56480.0,1.0,22262.0,0.04084905316165,0.0,0.0,6.0,0.0,1.0
168,BELMONT,395,56271.0,1.0,14994.0,0.03008079815042,0.0,0.0,10.0,0.0,1.0
169,GROVEDALE,395,57797.0,0.0,21944.0,0.03008079815042,0.0,0.0,4.0,0.0,1.0
170,CORIO,300,48364.0,1.0,14840.0,0.05449519266358,0.0,0.0,11.0,0.0,2.0
171,GEELONG,360,67478.0,7.0,8856.0,0.05449519266358,0.0,0.0,8.0,2.0,2.0
173,HERNE HILL,365,65809.0,0.0,3694.0,0.05449519266358,0.0,0.0,3.0,0.0,1.0
174,GEELONG WEST,365,65809.0,0.0,12007.0,0.05449519266358,0.0,0.0,4.0,0.0,1.0
175,LARA,400,63783.0,0.0,18765.0,0.0418641795418,0.0,0.0,6.0,0.0,1.0
176,NEWTOWN,400,85349.0,0.0,10406.0,0.05449519266358,0.0,0.0,7.0,0.0,4.0
177,NORTH GEELONG,360,59181.0,0.0,3147.0,0.05449519266358,0.0,0.0,5.0,1.0,0.0
180,BUNINYONG,350,63258.0,0.0,3616.0,0.0439211573055,0.0,0.0,5.0,0.0,0.0
181,SEBASTOPOL,320,50778.0,0.0,9887.0,0.01786724658065,0.0,0.0,8.0,0.0,2.0
182,DELACOMBE,320,54845.0,0.0,3990.0,0.01786724658065,0.0,0.0,1.0,0.0,1.0
183,WENDOUREE,350,50404.0,1.0,15314.0,0.06664273619215,0.0,0.0,17.0,1.0,2.0
184,ALFREDTON,350,63668.0,0.0,12434.0,0.0439211573055,0.0,0.0,2.0,0.0,1.0
185,BENDIGO,340,59825.0,3.0,10946.0,0.06341453219426,0.0,0.0,31.0,3.0,5.0
186,FLORA HILL,330,57804.0,0.0,2826.0,0.06341453219426,0.0,0.0,1.0,0.0,0.0
188,GOLDEN SQUARE,330,51787.0,0.0,14580.0,0.06341453219426,0.0,0.0,10.0,0.0,0.0
189,KANGAROO FLAT,330,51787.0,1.0,6480.0,0.06341453219426,0.0,0.0,6.0,0.0,1.0
190,NORTH BENDIGO,330,59825.0,0.0,3203.0,0.06341453219426,0.0,0.0,1.0,0.0,0.0
191,BAIRNSDALE,320,50622.0,0.0,8941.0,0.06545194010655,0.0,0.0,17.0,1.0,4.0
192,BENALLA,320,50343.0,0.0,10750.0,0.06545194010655,0.0,0.0,11.0,1.0,4.0
193,CASTLEMAINE,350,52122.0,0.0,5642.0,0.03633509758878,0.0,0.0,16.0,1.0,1.0
194,ECHUCA,355,54500.0,0.0,14766.0,0.05613950784322,0.0,0.0,12.0,1.0,3.0
195,HAMILTON,280,52803.0,0.0,10284.0,0.04725137944358,0.0,0.0,2.0,1.0,4.0
