Suburb,SA2_code,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
CAULFIELD SOUTH,208021178.0,53248.0,58866.0,56279.0,60205.0,62969.0,67414.0,69808.0,71423.0,74687.0,75945.0,79822.0,80622.0,82784.0,85610.0
HOPETOUN GARDENS,208021179.0,53727.0,57435.0,60540.0,61868.0,64472.0,71716.0,75791.0,77546.0,83299.0,84113.0,85428.0,89585.0,90346.0,91653.0
BOORAN ROAD PO,208021178.0,53248.0,58866.0,56279.0,60205.0,62969.0,67414.0,69808.0,71423.0,74687.0,75945.0,79822.0,80622.0,82784.0,85610.0
CARNEGIE,208021176.0,41968.0,44297.0,45110.0,47552.0,49142.0,54260.0,56431.0,59517.0,61256.0,62798.0,64244.0,65090.0,66873.0,68783.0
GLEN HUNTLY,208021182.0,44030.0,46466.0,47695.0,49954.0,51799.0,53317.0,57070.0,58519.0,60836.0,63522.0,65292.0,66702.0,68150.0,73355.0
MURRUMBEENA,208021181.0,41967.0,44303.0,45107.0,47556.0,49147.0,56234.0,59056.0,61585.0,62636.0,64524.0,66211.0,67878.0,69958.0,71876.0
DANDENONG SOUTH,212041311.0,31904.0,32960.0,33737.0,35186.0,35649.0,37105.0,38539.0,39945.0,39413.0,41083.0,41195.0,42502.0,44205.0,45908.0
HUGHESDALE,208021180.0,38742.0,40941.0,42376.0,44692.0,45590.0,52157.0,55469.0,56837.0,59027.0,61188.0,63361.0,64894.0,66808.0,68106.0
HUNTINGDALE,212051326.0,38304.0,40357.0,41820.0,44124.0,45170.0,47966.0,50414.0,52561.0,54252.0,55850.0,57566.0,58785.0,60602.0,62619.0
OAKLEIGH,212051326.0,38304.0,40357.0,41820.0,44124.0,45170.0,47966.0,50414.0,52561.0,54252.0,55850.0,57566.0,58785.0,60602.0,62619.0
OAKLEIGH EAST,212051326.0,38304.0,40357.0,41820.0,44124.0,45170.0,47966.0,50414.0,52561.0,54252.0,55850.0,57566.0,58785.0,60602.0,62619.0
OAKLEIGH SOUTH,212051326.0,38304.0,40357.0,41820.0,44124.0,45170.0,47966.0,50414.0,52561.0,54252.0,55850.0,57566.0,58785.0,60602.0,62619.0
CLAYTON,212051320.0,30734.0,31627.0,32207.0,35591.0,34738.0,37727.0,39814.0,42192.0,43959.0,44558.0,45882.0,45295.0,44622.0,44292.0
NOTTING HILL,212051320.0,30734.0,31627.0,32207.0,35591.0,34738.0,37727.0,39814.0,42192.0,43959.0,44558.0,45882.0,45295.0,44622.0,44292.0
CLARINDA,212041309.0,34411.0,35695.0,37021.0,38928.0,39639.0,44001.0,45839.0,47923.0,48417.0,49361.0,50894.0,51783.0,53359.0,56552.0
CLAYTON SOUTH,212041310.0,32509.0,33609.0,34920.0,36731.0,37105.0,38796.0,40444.0,42365.0,43179.0,43562.0,44841.0,45685.0,47345.0,48608.0
MULGRAVE,212051325.0,37482.0,39339.0,40231.0,42657.0,43373.0,47678.0,49837.0,52206.0,53413.0,54180.0,56306.0,57228.0,58047.0,59299.0
WAVERLEY GARDENS,212051325.0,37482.0,39339.0,40231.0,42657.0,43373.0,47678.0,49837.0,52206.0,53413.0,54180.0,56306.0,57228.0,58047.0,59299.0
SANDOWN VILLAGE,212041317.0,30023.0,30395.0,30951.0,31524.0,32988.0,34444.0,36382.0,37805.0,38965.0,39915.0,40075.0,40442.0,42139.0,43017.0
SPRINGVALE,212041317.0,30023.0,30395.0,30951.0,31524.0,32988.0,34444.0,36382.0,37805.0,38965.0,39915.0,40075.0,40442.0,42139.0,43017.0
DINGLEY VILLAGE,212041313.0,37487.0,38621.0,38805.0,40391.0,41043.0,50768.0,52974.0,54069.0,55057.0,55913.0,57114.0,58626.0,60172.0,62320.0
SPRINGVALE SOUTH,212041318.0,37488.0,38626.0,38808.0,40394.0,41045.0,37104.0,38269.0,39249.0,40109.0,41277.0,42129.0,42777.0,43909.0,44576.0
KEYSBOROUGH,212041314.0,34821.0,36813.0,38006.0,39692.0,42461.0,44010.0,46107.0,47574.0,48891.0,50347.0,51544.0,52990.0,55823.0,55646.0
BANGHOLME,212041314.0,34821.0,36813.0,38006.0,39692.0,42461.0,44010.0,46107.0,47574.0,48891.0,50347.0,51544.0,52990.0,55823.0,55646.0
DANDENONG,212041311.0,31904.0,32960.0,33737.0,35186.0,35649.0,37105.0,38539.0,39945.0,39413.0,41083.0,41195.0,42502.0,44205.0,45908.0
DANDENONG EAST,212041311.0,31904.0,32960.0,33737.0,35186.0,35649.0,37105.0,38539.0,39945.0,39413.0,41083.0,41195.0,42502.0,44205.0,45908.0
DANDENONG NORTH,212041312.0,31900.0,32953.0,33728.0,35175.0,35636.0,39658.0,41331.0,42893.0,43647.0,44792.0,45530.0,47033.0,48722.0,50071.0
DANDENONG SOUTH,212041311.0,31904.0,32960.0,33737.0,35186.0,35649.0,37105.0,38539.0,39945.0,39413.0,41083.0,41195.0,42502.0,44205.0,45908.0
DUNEARN,212041312.0,31900.0,32953.0,33728.0,35175.0,35636.0,39658.0,41331.0,42893.0,43647.0,44792.0,45530.0,47033.0,48722.0,50071.0
SCORESBY BC,211011254.0,37692.0,39321.0,40249.0,41615.0,43188.0,46905.0,48689.0,50301.0,51216.0,52430.0,54481.0,55621.0,57632.0,59267.0
DOVETON,212021295.0,30643.0,31306.0,32130.0,32470.0,33014.0,35797.0,37326.0,38219.0,39454.0,40218.0,40422.0,41075.0,42827.0,44333.0
EUMEMMERRING,212021295.0,30643.0,31306.0,32130.0,32470.0,33014.0,35797.0,37326.0,38219.0,39454.0,40218.0,40422.0,41075.0,42827.0,44333.0
ROWVILLE,211011256.0,41226.0,42820.0,43780.0,46193.0,47623.0,49158.0,50793.0,53825.0,54602.0,55374.0,56749.0,57342.0,59141.0,60538.0
SCORESBY,211011254.0,37692.0,39321.0,40249.0,41615.0,43188.0,46905.0,48689.0,50301.0,51216.0,52430.0,54481.0,55621.0,57632.0,59267.0
KNOXFIELD,211011254.0,37692.0,39321.0,40249.0,41615.0,43188.0,46905.0,48689.0,50301.0,51216.0,52430.0,54481.0,55621.0,57632.0,59267.0
PRAHRAN,206061136.0,54564.0,59583.0,58920.0,61706.0,62905.0,68847.0,69781.0,72231.0,72739.0,76455.0,73899.0,78362.0,83932.0,88528.0
PRAHRAN EAST,206061136.0,54564.0,59583.0,58920.0,61706.0,62905.0,68847.0,69781.0,72231.0,72739.0,76455.0,73899.0,78362.0,83932.0,88528.0
WINDSOR,206061136.0,54564.0,59583.0,58920.0,61706.0,62905.0,68847.0,69781.0,72231.0,72739.0,76455.0,73899.0,78362.0,83932.0,88528.0
ST KILDA,206051133.0,53841.0,57318.0,57188.0,60912.0,61456.0,63720.0,65742.0,66453.0,69260.0,70022.0,72672.0,70774.0,75745.0,77755.0
ST KILDA SOUTH,206051133.0,53841.0,57318.0,57188.0,60912.0,61456.0,63720.0,65742.0,66453.0,69260.0,70022.0,72672.0,70774.0,75745.0,77755.0
ST KILDA WEST,206051133.0,53841.0,57318.0,57188.0,60912.0,61456.0,63720.0,65742.0,66453.0,69260.0,70022.0,72672.0,70774.0,75745.0,77755.0
BALACLAVA,206051134.0,47410.0,50761.0,50709.0,53498.0,55450.0,56503.0,59557.0,60990.0,62108.0,64847.0,66049.0,66865.0,71332.0,73537.0
ST KILDA EAST,206051134.0,47410.0,50761.0,50709.0,53498.0,55450.0,56503.0,59557.0,60990.0,62108.0,64847.0,66049.0,66865.0,71332.0,73537.0
BRIGHTON ROAD,206051129.0,56211.0,60163.0,62655.0,65094.0,67563.0,74196.0,77845.0,78251.0,81065.0,82347.0,85843.0,86143.0,88876.0,92171.0
ELWOOD,206051129.0,56211.0,60163.0,62655.0,65094.0,67563.0,74196.0,77845.0,78251.0,81065.0,82347.0,85843.0,86143.0,88876.0,92171.0
ELSTERNWICK,208021179.0,53727.0,57435.0,60540.0,61868.0,64472.0,71716.0,75791.0,77546.0,83299.0,84113.0,85428.0,89585.0,90346.0,91653.0
GARDENVALE,208021179.0,53727.0,57435.0,60540.0,61868.0,64472.0,71716.0,75791.0,77546.0,83299.0,84113.0,85428.0,89585.0,90346.0,91653.0
RIPPONLEA,206051134.0,47410.0,50761.0,50709.0,53498.0,55450.0,56503.0,59557.0,60990.0,62108.0,64847.0,66049.0,66865.0,71332.0,73537.0
BRIGHTON,208011169.0,87854.0,97619.0,92762.0,97052.0,101776.0,113694.0,116749.0,118592.0,126031.0,126939.0,128527.0,128678.0,136482.0,137864.0
BRIGHTON NORTH,208011169.0,87854.0,97619.0,92762.0,97052.0,101776.0,113694.0,116749.0,118592.0,126031.0,126939.0,128527.0,128678.0,136482.0,137864.0
DENDY,208011169.0,87854.0,97619.0,92762.0,97052.0,101776.0,113694.0,116749.0,118592.0,126031.0,126939.0,128527.0,128678.0,136482.0,137864.0
WERE STREET PO,208011169.0,87854.0,97619.0,92762.0,97052.0,101776.0,113694.0,116749.0,118592.0,126031.0,126939.0,128527.0,128678.0,136482.0,137864.0
BRIGHTON EAST,208011170.0,59584.0,64385.0,63697.0,67061.0,70118.0,75248.0,80894.0,82818.0,85995.0,90497.0,92593.0,95730.0,100390.0,102102.0
NORTH ROAD,208021178.0,53248.0,58866.0,56279.0,60205.0,62969.0,67414.0,69808.0,71423.0,74687.0,75945.0,79822.0,80622.0,82784.0,85610.0
HAMPTON,208011172.0,58626.0,63271.0,63557.0,68632.0,70728.0,79817.0,81481.0,84517.0,88632.0,91060.0,94258.0,95772.0,100880.0,103087.0
HAMPTON EAST,208011172.0,58626.0,63271.0,63557.0,68632.0,70728.0,79817.0,81481.0,84517.0,88632.0,91060.0,94258.0,95772.0,100880.0,103087.0
HAMPTON NORTH,208011172.0,58626.0,63271.0,63557.0,68632.0,70728.0,79817.0,81481.0,84517.0,88632.0,91060.0,94258.0,95772.0,100880.0,103087.0
MOORABBIN,208031191.0,40677.0,43062.0,44509.0,46767.0,48351.0,52906.0,54596.0,56218.0,57775.0,59224.0,61236.0,62469.0,64276.0,67816.0
MOORABBIN EAST,208031191.0,40677.0,43062.0,44509.0,46767.0,48351.0,52906.0,54596.0,56218.0,57775.0,59224.0,61236.0,62469.0,64276.0,67816.0
WISHART,208031191.0,40677.0,43062.0,44509.0,46767.0,48351.0,52906.0,54596.0,56218.0,57775.0,59224.0,61236.0,62469.0,64276.0,67816.0
HIGHETT,208011171.0,42144.0,45501.0,47163.0,49245.0,50902.0,57901.0,60771.0,63763.0,66158.0,67765.0,70478.0,72159.0,75767.0,78867.0
SANDRINGHAM,208011173.0,62651.0,67199.0,67686.0,71204.0,72899.0,82277.0,84671.0,87245.0,90711.0,91972.0,93302.0,96801.0,100966.0,103258.0
CHELTENHAM,208031188.0,40197.0,43139.0,44193.0,46283.0,47179.0,49734.0,51900.0,54121.0,56079.0,57620.0,59713.0,62833.0,64774.0,66835.0
CHELTENHAM EAST,208031188.0,40197.0,43139.0,44193.0,46283.0,47179.0,49734.0,51900.0,54121.0,56079.0,57620.0,59713.0,62833.0,64774.0,66835.0
CHELTENHAM NORTH,208031188.0,40197.0,43139.0,44193.0,46283.0,47179.0,49734.0,51900.0,54121.0,56079.0,57620.0,59713.0,62833.0,64774.0,66835.0
SOUTHLAND CENTRE,208031188.0,40197.0,43139.0,44193.0,46283.0,47179.0,49734.0,51900.0,54121.0,56079.0,57620.0,59713.0,62833.0,64774.0,66835.0
BEAUMARIS,208011168.0,60294.0,63561.0,62090.0,65854.0,67848.0,74735.0,77676.0,80358.0,84379.0,87199.0,89193.0,90674.0,92062.0,95080.0
BLACK ROCK,208011173.0,62651.0,67199.0,67686.0,71204.0,72899.0,82277.0,84671.0,87245.0,90711.0,91972.0,93302.0,96801.0,100966.0,103258.0
BLACK ROCK NORTH,208011173.0,62651.0,67199.0,67686.0,71204.0,72899.0,82277.0,84671.0,87245.0,90711.0,91972.0,93302.0,96801.0,100966.0,103258.0
CROMER,208011168.0,60294.0,63561.0,62090.0,65854.0,67848.0,74735.0,77676.0,80358.0,84379.0,87199.0,89193.0,90674.0,92062.0,95080.0
MENTONE,208031190.0,44320.0,46799.0,46952.0,49730.0,51038.0,55353.0,57505.0,59735.0,61707.0,63452.0,65598.0,66945.0,68079.0,72211.0
MENTONE EAST,208031190.0,44320.0,46799.0,46952.0,49730.0,51038.0,55353.0,57505.0,59735.0,61707.0,63452.0,65598.0,66945.0,68079.0,72211.0
ASPENDALE,208031189.0,39934.0,42525.0,44422.0,46971.0,48701.0,54433.0,56328.0,58121.0,61504.0,63263.0,65331.0,67797.0,71182.0,74348.0
ASPENDALE GARDENS,208031183.0,41868.0,44785.0,46671.0,48945.0,51063.0,51968.0,55078.0,57510.0,59481.0,60693.0,61470.0,63551.0,64877.0,67290.0
BRAESIDE,208031184.0,42663.0,47389.0,46241.0,47110.0,51464.0,79658.0,75205.0,85136.0,79921.0,89884.0,75365.0,73973.0,88033.0,79890.0
MORDIALLOC,208031193.0,41863.0,44783.0,46673.0,48948.0,51061.0,56333.0,58286.0,61092.0,63310.0,65706.0,68029.0,69800.0,73482.0,75133.0
MORDIALLOC NORTH,208031193.0,41863.0,44783.0,46673.0,48948.0,51061.0,56333.0,58286.0,61092.0,63310.0,65706.0,68029.0,69800.0,73482.0,75133.0
PARKDALE,208031193.0,41863.0,44783.0,46673.0,48948.0,51061.0,56333.0,58286.0,61092.0,63310.0,65706.0,68029.0,69800.0,73482.0,75133.0
WATERWAYS,208031183.0,41868.0,44785.0,46671.0,48945.0,51063.0,51968.0,55078.0,57510.0,59481.0,60693.0,61470.0,63551.0,64877.0,67290.0
BONBEACH,208031186.0,37593.0,39774.0,41653.0,44563.0,45761.0,49784.0,51686.0,53625.0,54938.0,57138.0,59615.0,61711.0,65349.0,66780.0
CHELSEA,208031186.0,37593.0,39774.0,41653.0,44563.0,45761.0,49784.0,51686.0,53625.0,54938.0,57138.0,59615.0,61711.0,65349.0,66780.0
CHELSEA HEIGHTS,208031187.0,37592.0,39776.0,41653.0,44560.0,45764.0,46104.0,47880.0,50700.0,52422.0,53030.0,55104.0,55673.0,58104.0,60259.0
EDITHVALE,208031189.0,39934.0,42525.0,44422.0,46971.0,48701.0,54433.0,56328.0,58121.0,61504.0,63263.0,65331.0,67797.0,71182.0,74348.0
CARRUM,208031185.0,44994.0,47721.0,48615.0,51438.0,52566.0,58059.0,59292.0,60892.0,60312.0,63178.0,64371.0,65850.0,68945.0,70124.0
PATTERSON LAKES,208031185.0,44994.0,47721.0,48615.0,51438.0,52566.0,58059.0,59292.0,60892.0,60312.0,63178.0,64371.0,65850.0,68945.0,70124.0
BELVEDERE PARK,214011375.0,34905.0,36216.0,37527.0,39656.0,40971.0,43870.0,45821.0,47199.0,49147.0,51114.0,52799.0,54633.0,56528.0,58360.0
SEAFORD,214011375.0,34905.0,36216.0,37527.0,39656.0,40971.0,43870.0,45821.0,47199.0,49147.0,51114.0,52799.0,54633.0,56528.0,58360.0
FRANKSTON,214011371.0,36278.0,38056.0,38373.0,40460.0,41748.0,43231.0,44700.0,45871.0,47278.0,48821.0,50154.0,51374.0,53259.0,55331.0
FRANKSTON EAST,214011371.0,36278.0,38056.0,38373.0,40460.0,41748.0,43231.0,44700.0,45871.0,47278.0,48821.0,50154.0,51374.0,53259.0,55331.0
FRANKSTON HEIGHTS,214011371.0,36278.0,38056.0,38373.0,40460.0,41748.0,43231.0,44700.0,45871.0,47278.0,48821.0,50154.0,51374.0,53259.0,55331.0
FRANKSTON SOUTH,214011373.0,36278.0,38054.0,38372.0,40460.0,41747.0,51615.0,53503.0,55559.0,56335.0,58368.0,60479.0,62648.0,65367.0,66992.0
KARINGAL,214011372.0,34729.0,36239.0,36678.0,38830.0,39636.0,38817.0,40385.0,42244.0,43418.0,44485.0,46156.0,47373.0,48577.0,50401.0
KARINGAL CENTRE,214011372.0,34729.0,36239.0,36678.0,38830.0,39636.0,38817.0,40385.0,42244.0,43418.0,44485.0,46156.0,47373.0,48577.0,50401.0
FRANKSTON NORTH,214011372.0,34729.0,36239.0,36678.0,38830.0,39636.0,38817.0,40385.0,42244.0,43418.0,44485.0,46156.0,47373.0,48577.0,50401.0
PINES FOREST,214011372.0,34729.0,36239.0,36678.0,38830.0,39636.0,38817.0,40385.0,42244.0,43418.0,44485.0,46156.0,47373.0,48577.0,50401.0
CARRUM DOWNS,214011370.0,35303.0,36495.0,38106.0,39672.0,40512.0,44115.0,45512.0,47380.0,47867.0,49477.0,50904.0,52676.0,54305.0,56480.0
HEATHERTON,208031191.0,40677.0,43062.0,44509.0,46767.0,48351.0,52906.0,54596.0,56218.0,57775.0,59224.0,61236.0,62469.0,64276.0,67816.0
BENTLEIGH,208021174.0,45563.0,48100.0,49566.0,51739.0,53734.0,59589.0,61828.0,66383.0,68627.0,69346.0,70899.0,72884.0,74073.0,77352.0
MCKINNON,208021174.0,45563.0,48100.0,49566.0,51739.0,53734.0,59589.0,61828.0,66383.0,68627.0,69346.0,70899.0,72884.0,74073.0,77352.0
ORMOND,208021182.0,44030.0,46466.0,47695.0,49954.0,51799.0,53317.0,57070.0,58519.0,60836.0,63522.0,65292.0,66702.0,68150.0,73355.0
PATTERSON,208021174.0,45563.0,48100.0,49566.0,51739.0,53734.0,59589.0,61828.0,66383.0,68627.0,69346.0,70899.0,72884.0,74073.0,77352.0
SOUTH MELBOURNE,206051132.0,61242.0,67480.0,65682.0,70876.0,71064.0,82798.0,88106.0,87449.0,87266.0,89607.0,93443.0,91651.0,94718.0,94237.0
SOUTH MELBOURNE DC,206051132.0,61242.0,67480.0,65682.0,70876.0,71064.0,82798.0,88106.0,87449.0,87266.0,89607.0,93443.0,91651.0,94718.0,94237.0
ALBERT PARK,206051128.0,76832.0,83996.0,80569.0,88033.0,91871.0,101191.0,105550.0,107915.0,112261.0,111338.0,115049.0,115981.0,117352.0,120412.0
MIDDLE PARK,206051128.0,76832.0,83996.0,80569.0,88033.0,91871.0,101191.0,105550.0,107915.0,112261.0,111338.0,115049.0,115981.0,117352.0,120412.0
GARDEN CITY,206051130.0,66623.0,70915.0,72021.0,75295.0,79347.0,85293.0,87824.0,93019.0,95573.0,97221.0,97667.0,101555.0,107132.0,107727.0
PORT MELBOURNE,206051131.0,71994.0,66438.0,73262.0,73366.0,78334.0,90766.0,86036.0,95756.0,83268.0,132566.0,224340.0,116157.0,87256.0,70348.0
LITTLE RIVER,203021043.0,39809.0,42023.0,42704.0,45128.0,46843.0,50714.0,53609.0,55388.0,55624.0,56586.0,57985.0,60326.0,62036.0,63783.0
AVALON,203021043.0,39809.0,42023.0,42704.0,45128.0,46843.0,50714.0,53609.0,55388.0,55624.0,56586.0,57985.0,60326.0,62036.0,63783.0
LARA,203021043.0,39809.0,42023.0,42704.0,45128.0,46843.0,50714.0,53609.0,55388.0,55624.0,56586.0,57985.0,60326.0,62036.0,63783.0
POINT WILSON,203021043.0,39809.0,42023.0,42704.0,45128.0,46843.0,50714.0,53609.0,55388.0,55624.0,56586.0,57985.0,60326.0,62036.0,63783.0
ANAKIE,203021043.0,39809.0,42023.0,42704.0,45128.0,46843.0,50714.0,53609.0,55388.0,55624.0,56586.0,57985.0,60326.0,62036.0,63783.0
BATESFORD,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
LOVELY BANKS,203021038.0,33060.0,34270.0,35343.0,36996.0,37816.0,40029.0,41552.0,42902.0,44191.0,44757.0,45572.0,46401.0,47323.0,48364.0
MOORABOOL,203021038.0,33060.0,34270.0,35343.0,36996.0,37816.0,40029.0,41552.0,42902.0,44191.0,44757.0,45572.0,46401.0,47323.0,48364.0
CORIO,203021038.0,33060.0,34270.0,35343.0,36996.0,37816.0,40029.0,41552.0,42902.0,44191.0,44757.0,45572.0,46401.0,47323.0,48364.0
NORLANE,203021038.0,33060.0,34270.0,35343.0,36996.0,37816.0,40029.0,41552.0,42902.0,44191.0,44757.0,45572.0,46401.0,47323.0,48364.0
NORTH SHORE,203021038.0,33060.0,34270.0,35343.0,36996.0,37816.0,40029.0,41552.0,42902.0,44191.0,44757.0,45572.0,46401.0,47323.0,48364.0
BELL PARK,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
BELL POST HILL,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
DRUMCONDRA,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
GEELONG NORTH,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
HAMLYN HEIGHTS,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
NORTH GEELONG,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
RIPPLESIDE,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
BELMONT,203021037.0,37424.0,39412.0,39614.0,42418.0,43877.0,44663.0,46221.0,48340.0,49792.0,49872.0,50759.0,51750.0,53674.0,56271.0
FRESHWATER CREEK,203021042.0,37526.0,39503.0,39905.0,42521.0,43925.0,61312.0,57021.0,59167.0,59660.0,62643.0,63056.0,64334.0,66089.0,69712.0
GROVEDALE,203021041.0,37423.0,39414.0,39614.0,42415.0,43877.0,44258.0,46767.0,48517.0,49425.0,50590.0,51567.0,53685.0,55567.0,57797.0
GROVEDALE EAST,203021041.0,37423.0,39414.0,39614.0,42415.0,43877.0,44258.0,46767.0,48517.0,49425.0,50590.0,51567.0,53685.0,55567.0,57797.0
HIGHTON,203021042.0,37526.0,39503.0,39905.0,42521.0,43925.0,61312.0,57021.0,59167.0,59660.0,62643.0,63056.0,64334.0,66089.0,69712.0
MARSHALL,203021041.0,37423.0,39414.0,39614.0,42415.0,43877.0,44258.0,46767.0,48517.0,49425.0,50590.0,51567.0,53685.0,55567.0,57797.0
MOUNT DUNEED,203021042.0,37526.0,39503.0,39905.0,42521.0,43925.0,61312.0,57021.0,59167.0,59660.0,62643.0,63056.0,64334.0,66089.0,69712.0
WANDANA HEIGHTS,203021042.0,37526.0,39503.0,39905.0,42521.0,43925.0,61312.0,57021.0,59167.0,59660.0,62643.0,63056.0,64334.0,66089.0,69712.0
WAURN PONDS,203021042.0,37526.0,39503.0,39905.0,42521.0,43925.0,61312.0,57021.0,59167.0,59660.0,62643.0,63056.0,64334.0,66089.0,69712.0
ARMSTRONG CREEK,203031050.0,38085.0,40751.0,40756.0,43450.0,45409.0,50642.0,52785.0,54335.0,56976.0,58667.0,60270.0,62732.0,64215.0,66856.0
CHARLEMONT,203021041.0,37423.0,39414.0,39614.0,42415.0,43877.0,44258.0,46767.0,48517.0,49425.0,50590.0,51567.0,53685.0,55567.0,57797.0
DEAKIN UNIVERSITY,207031165.0,42446.0,44940.0,48950.0,46109.0,46815.0,49034.0,50544.0,52698.0,53421.0,53726.0,53645.0,53303.0,53470.0,54445.0
FRESHWATER CREEK,203011036.0,35034.0,37523.0,39231.0,40507.0,41228.0,46830.0,48483.0,49429.0,48701.0,51989.0,52879.0,54167.0,59172.0,62699.0
MOUNT DUNEED,203031053.0,39889.0,42580.0,43070.0,46598.0,48553.0,53894.0,56781.0,57901.0,61020.0,63363.0,64149.0,64721.0,68034.0,71515.0
FYANSFORD,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
GEELONG WEST,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
HERNE HILL,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
MANIFOLD HEIGHTS,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
MURGHEBOLUC,203011034.0,39120.0,41060.0,41898.0,43003.0,44476.0,49296.0,52564.0,53210.0,55113.0,55921.0,57412.0,59879.0,61746.0,64568.0
STONEHAVEN,203011034.0,39120.0,41060.0,41898.0,43003.0,44476.0,49296.0,52564.0,53210.0,55113.0,55921.0,57412.0,59879.0,61746.0,64568.0
BREAKWATER,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
EAST GEELONG,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
NEWCOMB,203021045.0,34655.0,36249.0,37298.0,39600.0,40290.0,40704.0,42384.0,43982.0,44950.0,45101.0,46082.0,47208.0,48159.0,50279.0
ST ALBANS PARK,203021045.0,34655.0,36249.0,37298.0,39600.0,40290.0,40704.0,42384.0,43982.0,44950.0,45101.0,46082.0,47208.0,48159.0,50279.0
THOMSON,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
WHITTINGTON,203021045.0,34655.0,36249.0,37298.0,39600.0,40290.0,40704.0,42384.0,43982.0,44950.0,45101.0,46082.0,47208.0,48159.0,50279.0
BAREENA,203021046.0,48623.0,51972.0,51750.0,55117.0,56512.0,65621.0,69703.0,69854.0,73628.0,76709.0,77266.0,79885.0,83648.0,85349.0
GEELONG,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
NEWTOWN,203021046.0,48623.0,51972.0,51750.0,55117.0,56512.0,65621.0,69703.0,69854.0,73628.0,76709.0,77266.0,79885.0,83648.0,85349.0
SOUTH GEELONG,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
ANAKIE,203011036.0,35034.0,37523.0,39231.0,40507.0,41228.0,46830.0,48483.0,49429.0,48701.0,51989.0,52879.0,54167.0,59172.0,62699.0
BARRABOOL,203011036.0,35034.0,37523.0,39231.0,40507.0,41228.0,46830.0,48483.0,49429.0,48701.0,51989.0,52879.0,54167.0,59172.0,62699.0
BATESFORD,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
BELLARINE,203031051.0,32299.0,34878.0,34920.0,35588.0,37263.0,40318.0,41979.0,44031.0,45238.0,47862.0,47632.0,49270.0,51822.0,53904.0
CERES,203021042.0,37526.0,39503.0,39905.0,42521.0,43925.0,61312.0,57021.0,59167.0,59660.0,62643.0,63056.0,64334.0,66089.0,69712.0
FYANSFORD,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
GEELONG MC,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
GNARWARRE,203011036.0,35034.0,37523.0,39231.0,40507.0,41228.0,46830.0,48483.0,49429.0,48701.0,51989.0,52879.0,54167.0,59172.0,62699.0
