,Suburb,SA2_code,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
1631,KANGAROO FLAT,202011022.0,31737.0,33073.0,33553.0,35340.0,36355.0,39900.0,41968.0,43556.0,44458.0,46420.0,47181.0,48010.0,49833.0,51787.0
1677,ECHUCA,216011406.0,33933.0,35092.0,35271.0,36365.0,37904.0,41975.0,44672.0,46212.0,47640.0,49893.0,49745.0,50825.0,52698.0,54500.0
1780,SWAN HILL,215031404.0,32500.0,35276.0,36019.0,35938.0,37238.0,42099.0,45580.0,47147.0,48074.0,47781.0,48445.0,50470.0,53675.0,54265.0
1869,SHEPPARTON,216031417.0,34333.0,35419.0,36200.0,38392.0,39486.0,40831.0,42820.0,44173.0,46370.0,46865.0,47888.0,48325.0,50116.0,52040.0
1951,SEYMOUR,204011059.0,32439.0,33180.0,34972.0,37249.0,37752.0,41911.0,43619.0,44543.0,45874.0,45849.0,47073.0,48148.0,49885.0,51936.0
1993,BENALLA,204021063.0,32052.0,33056.0,33427.0,36254.0,37160.0,40730.0,41734.0,43334.0,44302.0,45087.0,46545.0,47384.0,48684.0,50343.0
2084,WODONGA,204031074.0,36145.0,37402.0,38497.0,40402.0,41676.0,44050.0,46987.0,48694.0,50410.0,51957.0,52449.0,53331.0,54529.0,56835.0
2388,BERWICK,212021293.0,42524.0,45163.0,45867.0,48064.0,50239.0,57089.0,56841.0,59054.0,60245.0,61253.0,62277.0,62974.0,65386.0,67504.0
2396,PAKENHAM,212011292.0,35557.0,37707.0,38837.0,40698.0,41919.0,44899.0,46650.0,48524.0,49905.0,50788.0,51603.0,52076.0,53761.0,55195.0
2428,WARRAGUL,205011079.0,36331.0,38121.0,38542.0,40764.0,41639.0,46449.0,48585.0,49059.0,50933.0,52661.0,53105.0,54477.0,56425.0,58776.0
2474,MOE,205041095.0,35200.0,36782.0,38284.0,40137.0,41630.0,46590.0,48380.0,50006.0,51882.0,52751.0,54157.0,53941.0,54040.0,56148.0
2477,NEWBOROUGH,205041095.0,35200.0,36782.0,38284.0,40137.0,41630.0,46590.0,48380.0,50006.0,51882.0,52751.0,54157.0,53941.0,54040.0,56148.0
2515,MORWELL,205041096.0,36127.0,38099.0,39331.0,40726.0,41754.0,44134.0,45699.0,47128.0,48380.0,50347.0,50309.0,50457.0,49917.0,50880.0
2532,TRARALGON,205041097.0,40809.0,43719.0,45358.0,47159.0,48344.0,54436.0,56592.0,59021.0,59735.0,62001.0,63479.0,62237.0,64109.0,66226.0
2543,SALE,205051103.0,37524.0,38911.0,40222.0,43328.0,45036.0,50131.0,53076.0,55468.0,57487.0,59059.0,59544.0,58241.0,59498.0,62291.0
2611,MAFFRA,205051101.0,35032.0,35173.0,37412.0,37955.0,38238.0,44224.0,47039.0,47223.0,49793.0,52160.0,51220.0,51056.0,52197.0,53970.0
2670,BAIRNSDALE,205021081.0,31956.0,33740.0,34361.0,35816.0,36591.0,41383.0,43072.0,44563.0,45576.0,47291.0,47799.0,47567.0,48731.0,50622.0
2816,HASTINGS,214021379.0,36740.0,37932.0,38679.0,41317.0,42249.0,44494.0,46683.0,47392.0,49479.0,50661.0,52497.0,53957.0,54913.0,56871.0
2848,FLINDERS,214021378.0,47602.0,54510.0,50181.0,53524.0,53947.0,60621.0,63789.0,70856.0,66490.0,71278.0,72129.0,75861.0,77756.0,82179.0
2851,MORNINGTON,214021380.0,37877.0,41007.0,40777.0,44590.0,43980.0,47445.0,49575.0,50799.0,53760.0,55845.0,57247.0,58594.0,60236.0,62275.0
2855,DROMANA,214021377.0,33249.0,34807.0,35095.0,37260.0,39295.0,42105.0,46850.0,47982.0,49683.0,51660.0,53257.0,55235.0,57195.0,59787.0
2872,PORTSEA,214021383.0,39071.0,41569.0,37181.0,41806.0,42168.0,45563.0,47878.0,49674.0,51972.0,52866.0,57056.0,59717.0,60284.0,61551.0
2974,HAMPTON PARK,212031305.0,34282.0,34929.0,36090.0,37084.0,37897.0,40204.0,41758.0,43203.0,45464.0,44866.0,45537.0,46356.0,47769.0,49343.0
2977,CRANBOURNE,212031300.0,35776.0,37399.0,38924.0,40894.0,42612.0,42257.0,43391.0,44983.0,45305.0,46225.0,47212.0,47948.0,49556.0,50926.0
