,SA2,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
838,212031308,35890,38135,38691,41060,42450,46316,49641,49863,51341,52514,54312,55725,59045,61900
839,212041309,34411,35695,37021,38928,39639,44001,45839,47923,48417,49361,50894,51783,53359,56552
840,212041310,32509,33609,34920,36731,37105,38796,40444,42365,43179,43562,44841,45685,47345,48608
841,212041311,31904,32960,33737,35186,35649,37105,38539,39945,39413,41083,41195,42502,44205,45908
842,212041312,31900,32953,33728,35175,35636,39658,41331,42893,43647,44792,45530,47033,48722,50071
843,212041313,37487,38621,38805,40391,41043,50768,52974,54069,55057,55913,57114,58626,60172,62320
844,212041314,34821,36813,38006,39692,42461,44010,46107,47574,48891,50347,51544,52990,55823,55646
846,212041316,32179,32922,33478,34928,35104,40887,42711,44624,44934,45570,46360,47407,48684,49562
847,212041317,30023,30395,30951,31524,32988,34444,36382,37805,38965,39915,40075,40442,42139,43017
848,212041318,37488,38626,38808,40394,41045,37104,38269,39249,40109,41277,42129,42777,43909,44576
849,212051319,41770,43506,44163,46238,48553,50539,52994,55781,56494,57887,59966,60464,62564,64346
850,212051320,30734,31627,32207,35591,34738,37727,39814,42192,43959,44558,45882,45295,44622,44292
851,212051321,43092,44832,43504,46188,47475,50802,52770,54371,56181,57308,57578,57032,58082,59969
852,212051322,43094,44830,43505,46188,47477,47824,49669,52032,53771,54943,55974,56209,57462,58106
853,212051323,43647,46027,44289,46646,47694,52513,54968,57360,59390,60437,61627,62027,62757,65772
854,212051324,43648,46032,44289,46643,47693,51599,54589,57259,58549,60098,61544,62081,63883,66472
855,212051325,37482,39339,40231,42657,43373,47678,49837,52206,53413,54180,56306,57228,58047,59299
856,212051326,38304,40357,41820,44124,45170,47966,50414,52561,54252,55850,57566,58785,60602,62619
857,212051327,43093,44829,43504,46186,47477,56987,58925,61070,61619,63295,64261,64230,66880,68610
858,213011328,33520,35074,36450,37922,37786,38903,41377,42635,42814,44318,45369,46639,48816,50078
859,213011329,37783,39413,41177,43601,44430,45685,47665,49575,50440,50221,51356,52140,54391,54470
860,213011330,38761,40575,42196,44570,45481,43733,45927,47451,48190,48829,50358,50950,52634,53966
861,213011331,37960,39208,40686,42563,44160,42100,43188,44225,45223,46129,46682,48203,50446,50783
862,213011332,37053,38600,39934,41752,42757,44834,46619,47747,49133,50040,51526,52925,53880,55820
863,213011333,32169,33171,34133,35659,35720,38801,40203,41666,42194,43171,43746,44438,45976,46226
864,213011334,32102,33087,34031,35538,35565,36741,38432,39255,40024,40164,41248,41719,42113,43682
865,213011335,32106,33095,34041,35548,35577,36824,38481,39769,39800,40201,40985,41241,42876,43468
866,213011336,32520,33742,34635,36434,36554,39412,41244,42997,43701,44873,45577,46975,48530,50119
867,213011337,32526,33742,34636,36436,36555,38320,39925,40835,41048,42069,43411,44155,45528,47322
868,213011338,32525,33740,34637,36434,36557,39714,41769,43589,43523,44511,45099,46262,47974,49129
869,213011339,37955,39210,40686,42563,44164,44960,47182,48485,48842,49907,50975,52299,53949,55512
870,213011340,38182,39864,41304,43231,44464,49354,51466,53019,54819,56362,57854,59646,61177,63463
871,213021341,40353,42867,42517,45150,46560,51245,53651,56677,58832,60523,63487,65344,69301,71989
872,213021342,37422,38715,39999,41687,42197,45589,47895,49950,51047,52065,53879,55384,57686,58832
873,213021343,36219,39497,40453,42454,43122,46386,49073,51067,51367,53867,56631,58728,61391,65402
874,213021344,45235,48260,48942,54284,55668,60778,64056,66402,69088,72132,75204,76882,80219,83403
875,213021345,37424,38714,39994,41681,42191,48711,52017,52420,53181,54966,56983,57349,60249,61171
876,213021346,54985,58481,58068,62356,64547,71487,74167,77761,79946,82819,85094,87460,90668,94350
877,213031347,34101,35275,36912,39399,39887,41164,43181,46129,46384,47351,48696,49839,51530,52895
878,213031348,36482,37360,38467,41170,42943,42600,45491,46902,48180,49954,50887,52664,55519,57701
879,213031349,44880,47190,48950,51456,53536,54310,57558,59017,59733,61104,62096,62566,64646,66404
880,213031350,36635,38005,39443,42187,43745,57518,59896,61714,63637,65726,68694,71878,75083,78218
881,213031351,36457,38579,40523,43189,44327,46517,48643,51242,52318,53792,55182,57404,59885,62995
882,213031352,44732,47113,50175,53475,55554,60265,63528,66799,68348,70906,73604,76250,79585,83130
883,213041353,38142,39263,41050,43134,45090,49217,51644,54245,54730,56788,57892,59609,61650,63288
885,213041355,37823,39082,40588,42481,44080,49630,51590,53775,54863,56371,58097,59363,60105,62404
886,213041356,36927,38013,39385,41379,42127,44542,46372,47027,47849,48924,49934,50733,51938,53740
887,213041357,35739,37552,38492,40389,41623,44470,47528,49117,49950,51038,52228,53067,54596,56150
888,213041358,36927,38015,39388,41377,42127,45941,47514,49033,49871,50588,52062,50053,54310,55312
889,213041359,35501,36971,39146,41474,42745,43594,44270,46831,46375,44269,45895,47870,62969,57008
890,213041360,37912,39242,40787,42784,44214,49507,51766,53770,54798,55529,57623,58907,61123,63364
891,213051361,38964,40334,41764,43570,44029,47326,49067,50554,51032,51837,52778,53595,55029,56365
892,213051362,38960,40333,41765,43573,44029,45606,47172,48087,48482,48852,49584,50331,51319,51933
893,213051363,38528,39452,40488,42458,43558,41988,44954,48546,49498,51350,53119,53966,55310,57128
895,213051365,38965,40340,41767,43578,44036,48541,50375,51656,51925,51974,52736,53405,54321,55002
896,213051366,39438,41091,42282,44339,45356,47806,48636,50103,50675,51184,52085,53233,54134,55425
898,213051368,40974,43286,44618,47005,48141,48916,50479,51657,53289,55336,56628,59566,61353,63382
899,213051369,39328,41067,42364,44277,44670,47844,50036,51816,51787,52420,52906,54340,56229,58036
900,214011370,35303,36495,38106,39672,40512,44115,45512,47380,47867,49477,50904,52676,54305,56480
901,214011371,36278,38056,38373,40460,41748,43231,44700,45871,47278,48821,50154,51374,53259,55331
902,214011372,34729,36239,36678,38830,39636,38817,40385,42244,43418,44485,46156,47373,48577,50401
903,214011373,36278,38054,38372,40460,41747,51615,53503,55559,56335,58368,60479,62648,65367,66992
904,214011374,37930,39929,40987,43266,44500,48210,50407,51808,52681,54106,56491,57630,59972,62128
905,214011375,34905,36216,37527,39656,40971,43870,45821,47199,49147,51114,52799,54633,56528,58360
906,214011376,35777,37398,38925,40895,42613,51490,54278,55979,57690,58985,60865,62010,64367,65813
907,214021377,33249,34807,35095,37260,39295,42105,46850,47982,49683,51660,53257,55235,57195,59787
908,214021378,47602,54510,50181,53524,53947,60621,63789,70856,66490,71278,72129,75861,77756,82179
909,214021379,36740,37932,38679,41317,42249,44494,46683,47392,49479,50661,52497,53957,54913,56871
910,214021380,37877,41007,40777,44590,43980,47445,49575,50799,53760,55845,57247,58594,60236,62275
911,214021381,51455,55846,53633,58383,59394,65657,67975,71257,75347,76527,80314,81583,83275,86317
912,214021382,42628,44767,44144,47111,49226,54014,56175,57705,60186,62304,65677,66615,68706,71478
913,214021383,39071,41569,37181,41806,42168,45563,47878,49674,51972,52866,57056,59717,60284,61551
914,214021384,30598,32737,31775,34228,35412,37547,39580,41055,42342,43618,44985,45524,47756,49287
915,214021385,37004,39090,39747,41989,43798,47028,49251,50784,51687,53264,55030,57071,58976,60475
916,215011386,31200,31765,32659,34352,35193,40239,41364,42910,44165,45508,46667,48023,49151,52280
917,215011387,31926,30400,36658,37434,35029,39508,41941,43026,47845,46190,43248,52625,50571,60456
918,215011388,33380,33923,36997,37647,37617,42487,44525,46660,48541,48234,48270,50607,52518,54821
919,215011389,30013,25458,40018,33847,32912,43308,42724,48852,53622,41665,34273,47772,54219,58755
920,215011390,27949,25400,37576,29254,32416,45351,42365,44483,52304,47671,37437,48226,56733,64105
921,215011391,28072,28575,30833,30125,30853,38317,39751,40199,41805,41146,38690,43571,47995,49211
922,215011392,31224,32289,33171,35441,37172,41163,43445,43786,44953,45332,45445,47333,48418,52296
923,215011393,26302,22111,33983,30570,29029,40482,39401,38588,40470,41891,43613,49644,50581,65775
924,215011394,28222,26254,35245,30792,31165,49209,46367,52964,53491,40333,38594,50845,58228,52472
925,215021395,31629,34015,34575,36370,37821,39480,43666,46367,47422,49328,52071,52869,55398,57883
926,215021396,29159,29363,30877,31333,33192,35602,37943,39557,41105,42870,44622,45428,46796,50054
928,215021398,25018,28310,39111,30377,31290,44477,38865,37101,39143,45703,45361,48610,50768,48655
929,215021399,26139,28928,31276,29280,29328,34504,37235,40200,41675,42376,42842,45331,45559,46797
930,215031400,25496,25314,28970,26040,27867,39737,40314,45288,42337,35217,34389,45741,50300,47398
931,215031401,31614,31051,31616,29091,29094,35359,38548,40112,42508,42241,40336,40195,46320,46093
932,215031402,28169,28907,29817,27327,27787,33496,36066,37777,39225,41104,40481,42497,46432,47530
933,215031403,31216,34872,34853,37187,37953,37375,39786,41721,42515,42545,50750,53559,54055,56673
934,215031404,32500,35276,36019,35938,37238,42099,45580,47147,48074,47781,48445,50470,53675,54265
935,215031405,27777,32039,34836,32788,32934,39204,40087,43040,43231,44924,43380,48133,51610,52912
936,216011406,33933,35092,35271,36365,37904,41975,44672,46212,47640,49893,49745,50825,52698,54500
937,216011407,33080,30940,33010,32859,32386,36567,39679,39149,42390,43292,42824,44236,46980,47559
938,216011408,31269,30355,32330,31418,30825,34143,38508,38682,44242,44128,41334,42911,47050,47199
939,216011409,32217,31455,33793,32866,33078,39076,44101,44121,46407,48841,44881,45162,49474,48071
940,216011410,29047,28119,31014,30174,30151,33600,35703,36385,39750,42355,39370,42515,45788,45311
941,216021411,32649,32994,33045,34000,34227,38724,40774,42150,44662,47091,48271,49203,49449,49895
942,216021412,27741,26855,29314,29019,29764,40052,36076,43121,43259,45237,41955,42397,48208,49207
943,216021413,30176,29547,30859,30226,29600,34444,38126,38269,41703,43995,41316,41874,44383,45853
944,216021414,31447,32370,31747,34498,35676,39960,42769,43621,46131,46270,46072,47691,48313,49703
945,216031415,31421,31787,32176,33904,35759,38353,41042,41694,42984,44280,45198,46551,47317,47974
946,216031416,33878,34956,35465,37722,38392,45434,46875,48366,50098,52266,52861,54553,56418,58566
947,216031417,34333,35419,36200,38392,39486,40831,42820,44173,46370,46865,47888,48325,50116,52040
948,216031418,31434,30660,33849,34118,35101,38776,40436,43632,44865,46452,46919,45340,48209,48347
949,216031419,31753,31279,33591,34446,35048,37517,40447,41168,42393,44297,44486,45870,48350,50822
950,217011420,31546,33713,35617,37224,35305,43072,43548,40206,43503,47358,49529,51261,50806,53252
951,217011421,34332,35529,36282,39010,37900,43067,45139,44957,45075,47235,47314,48303,49549,52803
952,217011422,37654,39296,40932,42195,42034,46398,49852,50494,52280,53675,53527,54003,55632,57119
953,217011423,27025,29487,33412,33939,34336,45736,43695,34943,40690,43794,45457,51223,57001,55594
