,SA2,2010_income,2011_income,2012_income,2013_income
779,209011200,70765,70792,74458,75535
780,209011201,85855,88559,89719,94634
781,209011202,56240,59762,61082,61855
782,209011203,51784,54837,56794,57897
783,209011204,48852,51748,53839,55158
784,209021205,51358,52646,54756,55228
785,209021207,42171,44051,45557,46485
786,209021208,43911,46318,47724,48688
787,209021428,45002,47278,50138,51002
788,209021429,48995,50478,53017,54285
789,209031209,59965,62005,63799,64881
790,209031210,49756,54560,54558,56326
791,209031211,44082,46711,50102,49775
792,209031212,55917,58735,64101,63187
793,209031213,60524,63832,66138,68118
794,209031214,70666,71342,71791,72134
795,209031215,55023,57287,60084,61040
796,209041216,48433,49375,52498,53203
797,209041217,43386,44172,45775,46029
798,209041219,38563,40445,41906,42567
799,209041220,45956,47237,49353,50157
800,209041221,44681,45925,47892,48882
801,209041223,38937,40702,42459,42620
802,209041224,47572,50215,52144,52715
803,209041225,49126,51324,52045,52943
804,209041430,53807,55479,56295,56891
805,209041431,44124,45072,46504,47007
806,209041432,41459,42856,44866,44230
807,209041433,47416,49049,50051,50331
808,209041434,50871,52617,54038,54654
809,209041435,50443,51844,53554,54316
810,209041436,46762,48801,50840,51653
811,209041437,61053,51429,52515,52564
812,210011226,48357,50527,52510,55197
813,210011227,na,na,na,na
814,210011228,54735,56480,58509,60503
815,210011229,48456,51527,53187,55045
816,210011230,54598,57441,60293,62172
817,210011231,61172,63796,66347,68570
818,210021232,55742,59012,59480,61950
819,210021233,65433,66825,68389,74070
820,210021234,51881,53878,55471,57388
821,210021235,49420,52334,54008,56307
822,210031236,45005,47111,49785,51114
823,210031237,39767,41445,43156,44046
824,210031239,50626,52898,55157,56207
825,210031438,41072,43190,45363,45819
826,210031439,54684,56918,60896,61071
827,210031440,42696,44188,45782,46872
828,210041240,51675,53330,55429,56560
829,210041241,49363,51694,53352,54450
830,210051242,35336,36815,38096,39141
831,210051243,35844,37648,38406,39456
832,210051245,45742,47943,49342,50380
833,210051246,51923,54218,56746,57732
834,210051247,36125,37558,38745,38364
835,210051248,34458,43278,44194,63443
836,210051249,40968,42678,44638,44762
837,210051250,45258,47699,48539,48879
838,210051441,44112,44836,46241,46560
839,210051442,48439,49467,51081,51873
840,210051443,43871,45592,47553,47298
841,210051444,46231,47919,49411,49189
842,210051445,51676,55726,55042,52065
843,211011251,44736,47152,48405,49025
844,211011254,46905,48689,50301,51216
845,211011255,60318,62414,64145,65968
846,211011256,49158,50793,53825,54602
847,211011257,51631,54030,56208,57360
848,211011258,53378,55538,56744,57383
849,211011259,48380,50845,51885,52519
850,211011260,50158,51696,53168,54449
851,211011446,44976,46695,48237,49322
852,211011447,45253,47593,48825,49880
853,211011448,46567,48027,49537,50991
854,211011449,48619,50904,51129,51957
855,211021261,64722,66069,68951,71817
856,211021262,70957,74095,76165,77847
857,211031263,47397,49461,51127,51776
858,211031265,53649,55926,57803,59091
859,211031266,47292,48976,51218,51438
860,211031267,49501,51449,53089,54787
861,211031268,54959,56306,57804,59624
862,211031450,45114,47630,49286,50611
863,211031451,46742,48643,50881,53598
864,211031452,46241,48836,50623,51444
865,211041269,46475,48346,50118,51865
866,211041270,51899,54323,56170,57919
867,211041271,49013,54303,52672,54845
868,211041272,50660,51678,53759,55104
869,211041273,53200,54755,55675,57662
870,211051274,51823,52548,56827,57724
871,211051275,48876,50597,52005,52654
872,211051276,44112,45973,47835,48648
873,211051277,44291,45556,47447,48831
874,211051278,48089,50522,52146,53860
875,211051279,44474,46331,48378,49821
876,211051280,49416,52050,53788,56147
877,211051281,46592,48407,50190,51586
878,211051282,52965,54980,56057,57643
879,211051283,45791,48138,49368,50432
880,211051284,48041,50183,52680,53928
881,211051285,46802,50425,50507,52672
882,211051286,41691,43363,45172,45089
883,212011287,55010,57401,59540,59640
884,212011288,44465,46350,47641,48754
885,212011289,50377,53243,54075,55906
886,212011290,43109,44299,45186,45962
887,212011291,44203,46153,47719,48394
888,212011292,44899,46650,48524,49905
889,212021293,57089,56841,59054,60245
890,212021294,50976,52956,54584,55536
891,212021295,35797,37326,38219,39454
892,212021297,41792,44317,45587,44914
893,212021299,61022,64820,64414,66234
894,212021453,45201,47693,49618,51039
895,212021454,43677,45659,47001,48004
896,212021455,44661,46730,48316,49051
897,212021456,41944,43964,45488,46084
898,212031300,42257,43391,44983,45305
899,212031301,46724,48838,49909,50486
900,212031302,45260,49872,48517,49294
901,212031303,51476,53388,53877,55209
902,212031304,41966,43922,46420,47553
903,212031305,40204,41758,43203,45464
904,212031306,48796,49931,50899,52696
905,212031308,46316,49641,49863,51341
906,212031457,50815,52751,54595,54772
907,212031458,45773,47240,48648,49193
908,212041309,44001,45839,47923,48417
909,212041310,38796,40444,42365,43179
910,212041311,37105,38539,39945,39413
911,212041312,39658,41331,42893,43647
912,212041313,50768,52974,54069,55057
913,212041314,44010,46107,47574,48891
914,212041316,40887,42711,44624,44934
915,212041317,34444,36382,37805,38965
916,212041318,37104,38269,39249,40109
917,212041459,37363,39462,41305,42086
918,212041460,36592,37790,39454,40202
919,212051319,50539,52994,55781,56494
920,212051320,37727,39814,42192,43959
921,212051321,50802,52770,54371,56181
922,212051322,47824,49669,52032,53771
923,212051323,52513,54968,57360,59390
924,212051324,51599,54589,57259,58549
925,212051325,47678,49837,52206,53413
926,212051326,47966,50414,52561,54252
927,212051327,56987,58925,61070,61619
928,213011328,38903,41377,42635,42814
929,213011329,45685,47665,49575,50440
930,213011330,43733,45927,47451,48190
931,213011331,42100,43188,44225,45223
932,213011332,44834,46619,47747,49133
933,213011333,38801,40203,41666,42194
934,213011334,36741,38432,39255,40024
935,213011335,36824,38481,39769,39800
936,213011336,39412,41244,42997,43701
937,213011337,38320,39925,40835,41048
938,213011338,39714,41769,43589,43523
939,213011339,44960,47182,48485,48842
940,213011340,49354,51466,53019,54819
941,213021341,51245,53651,56677,58832
942,213021342,45589,47895,49950,51047
943,213021343,46386,49073,51067,51367
944,213021344,60778,64056,66402,69088
945,213021345,48711,52017,52420,53181
946,213021346,71487,74167,77761,79946
947,213031347,41164,43181,46129,46384
948,213031348,42600,45491,46902,48180
949,213031349,54310,57558,59017,59733
950,213031350,57518,59896,61714,63637
951,213031351,46517,48643,51242,52318
952,213031352,60265,63528,66799,68348
953,213041353,49217,51644,54245,54730
954,213041355,49630,51590,53775,54863
955,213041356,44542,46372,47027,47849
956,213041357,44470,47528,49117,49950
957,213041358,45941,47514,49033,49871
958,213041359,43594,44270,46831,46375
959,213041360,49507,51766,53770,54798
960,213041461,45363,47044,48354,49080
961,213041462,48117,49599,51727,52702
962,213041463,51865,54265,56301,56616
963,213051361,47326,49067,50554,51032
964,213051362,45606,47172,48087,48482
965,213051363,41988,44954,48546,49498
966,213051365,48541,50375,51656,51925
967,213051366,47806,48636,50103,50675
968,213051368,48916,50479,51657,53289
969,213051369,47844,50036,51816,51787
970,213051464,66183,65838,66635,67262
971,213051465,55079,56653,58263,58980
972,213051466,55538,57345,59306,59431
973,213051467,44140,45339,47258,47967
974,213051468,50010,52142,54887,55025
975,214011370,44115,45512,47380,47867
976,214011371,43231,44700,45871,47278
977,214011372,38817,40385,42244,43418
978,214011373,51615,53503,55559,56335
979,214011374,48210,50407,51808,52681
980,214011375,43870,45821,47199,49147
981,214011376,51490,54278,55979,57690
982,214021377,42105,46850,47982,49683
983,214021378,60621,63789,70856,66490
984,214021379,44494,46683,47392,49479
985,214021380,47445,49575,50799,53760
986,214021381,65657,67975,71257,75347
987,214021382,54014,56175,57705,60186
988,214021383,45563,47878,49674,51972
989,214021384,37547,39580,41055,42342
990,214021385,47028,49251,50784,51687
991,215011386,40239,41364,42910,44165
992,215011387,39508,41941,43026,47845
993,215011388,42487,44525,46660,48541
994,215011389,43308,42724,48852,53622
995,215011390,45351,42365,44483,52304
996,215011391,38317,39751,40199,41805
997,215011392,41163,43445,43786,44953
998,215011393,40482,39401,38588,40470
999,215011394,49209,46367,52964,53491
1000,215021395,39480,43666,46367,47422
1001,215021396,35602,37943,39557,41105
1002,215021398,44477,38865,37101,39143
1003,215021399,34504,37235,40200,41675
1004,215021469,40750,42766,44781,45885
1005,215021470,40450,43470,45256,46976
1006,215031400,39737,40314,45288,42337
1007,215031401,35359,38548,40112,42508
1008,215031402,33496,36066,37777,39225
1009,215031403,37375,39786,41721,42515
1010,215031404,42099,45580,47147,48074
1011,215031405,39204,40087,43040,43231
1012,216011406,41975,44672,46212,47640
1013,216011407,36567,39679,39149,42390
1014,216011408,34143,38508,38682,44242
1015,216011409,39076,44101,44121,46407
1016,216011410,33600,35703,36385,39750
1017,216021411,38724,40774,42150,44662
1018,216021412,40052,36076,43121,43259
1019,216021413,34444,38126,38269,41703
1020,216021414,39960,42769,43621,46131
1021,216031415,38353,41042,41694,42984
1022,216031416,45434,46875,48366,50098
1023,216031417,40831,42820,44173,46370
1024,216031418,38776,40436,43632,44865
1025,216031419,37517,40447,41168,42393
1026,217011420,43072,43548,40206,43503
1027,217011421,43067,45139,44957,45075
1028,217011422,46398,49852,50494,52280
1029,217011423,45736,43695,34943,40690
1030,217031471,40780,42804,41278,43711
1031,217031472,40770,42540,43778,45283
1032,217031473,39091,40525,37256,42864
1033,217031474,38786,40241,38161,45552
1034,217031475,42169,42591,34958,47817
1035,217031476,37228,39331,36936,39769
1036,217041477,45363,43776,37883,46722
1037,217041478,43642,43420,42511,46053
1038,217041479,44366,45989,46934,48440
1039,217041480,45905,47794,48726,50544
1040,297979799,na,na,na,na
1041,299999499,na,na,na,na
1042,301011001,46814,50026,51629,52606
1043,301011002,70296,73719,75328,78378
1044,301011003,51901,55541,58019,59028
1045,301011004,47736,51376,53001,54323
1046,301011005,48843,51303,54935,56440
1047,301011006,55725,61929,64312,63954
1048,301021007,58504,61494,63355,66917
1049,301021008,57968,60516,65392,69961
1050,301021009,50848,54312,57566,58714
1051,301021011,58207,61418,64122,65460
1052,301021012,52347,56878,60180,61883
1053,301021013,45958,49592,52163,54866
1054,301021527,36924,39883,41762,41248
1055,301031014,na,na,na,na
1056,301031015,59016,64792,68159,71113
1057,301031016,53096,56566,59089,61414
1058,301031017,57221,61604,64841,66866
1059,301031018,50812,54123,56647,58521
1060,301031019,63863,68803,73852,75175
1061,301031020,54096,57944,60259,62700
1062,301031021,48726,52501,54431,55626
1063,302011022,48232,52027,52967,53656
1064,302011023,69828,75029,79073,80278
1065,302011024,52426,56910,58540,59546
1066,302011025,51066,54586,56329,58045
1067,302011026,58401,61925,65141,65653
1068,302021027,53060,56540,58551,60294
1069,302021028,47502,50245,51646,52205
1070,302021029,52471,56129,57601,59036
1071,302021030,48274,51309,54643,56910
1072,302021031,58337,63014,66351,68290
1073,302021032,51433,55207,57625,59086
1074,302021033,50752,54205,56571,59246
1075,302021034,59032,64590,67417,71782
1076,302031035,46503,50304,52324,53934
1077,302031036,61067,62917,102687,81933
1078,302031037,60940,69335,108900,92686
1079,302031038,53832,58740,62454,63533
1080,302031039,49346,54251,56841,58342
1081,302031040,53245,57538,60629,63255
1082,302041041,48164,51252,53035,54612
1083,302041042,50288,54603,56985,59474
1084,302041043,46728,50246,51926,53494
1085,302041044,55841,60593,63550,65900
1086,302041045,48012,50927,53305,53831
1087,302041046,44610,47522,48998,50294
1088,303011047,65955,70744,74656,78382
1089,303011048,54099,58642,62301,64694
1090,303011049,51339,55944,58641,60337
1091,303011050,56494,59852,61112,62769
1092,303011051,62706,67007,70169,71400
1093,303021052,52872,55914,57472,58889
1094,303021053,63046,67943,69979,71305
1095,303021054,53882,58365,59614,60064
1096,303021055,54540,58466,60544,62876
1097,303021056,60356,64799,67219,67833
1098,303021057,58556,63463,67263,67852
1099,303021058,47287,52071,53439,55899
1100,303021059,69301,73098,76264,79381
1101,303031060,46940,50097,53548,54678
1102,303031061,39496,41912,42756,42176
1103,303031062,48107,50619,51963,53836
1104,303031063,51964,56880,58750,60015
1105,303031064,62165,67646,67897,73016
1106,303031065,45375,48949,50531,50895
1107,303031066,50571,53660,55887,56848
1108,303041067,41441,42985,45564,44302
1109,303041068,50834,54517,56759,58400
1110,303041069,45937,50517,52334,51962
1111,303041070,45219,48363,50763,52870
1112,303041071,60720,65589,68812,71542
1113,303051072,46130,48249,49648,50427
1114,303051073,46959,49285,50582,51763
1115,303051074,52745,55150,58377,58968
1116,303051075,51015,54485,56946,57445
1117,303051076,40581,42836,44723,45576
1118,303061077,49282,52440,53903,54249
1119,303061078,42005,43867,45075,45795
1120,303061079,39903,41952,43048,42755
1121,303061080,44861,46464,48151,48862
1122,304011081,60380,61522,63809,63580
1123,304011082,52400,55102,57097,58220
1124,304011083,53118,54832,57178,57589
1125,304011084,65071,69074,71307,72660
1126,304011085,62805,65801,68301,68507
1127,304021086,59329,62413,64228,64701
1128,304021087,88165,94537,103969,100625
1129,304021088,73651,76573,77837,78464
1130,304021089,93189,96722,107481,104434
1131,304021090,61064,66351,68900,69047
1132,304021091,84609,93872,93578,98418
1133,304031092,84651,90369,90543,98251
1134,304031093,63571,72784,75635,77141
1135,304031094,69313,75635,79772,82369
1136,304031095,69134,76303,78603,80708
1137,304031096,71056,75621,78854,83616
1138,304031097,62179,67595,68575,70641
1139,304041098,54271,57069,60438,62014
1140,304041099,na,na,na,na
1141,304041100,46791,47625,48028,50371
1142,304041101,55862,61363,62995,64694
1143,304041102,na,na,na,na
1144,304041103,64438,68907,70340,70204
1145,304041104,55409,58616,61176,62502
1146,305011105,54445,58726,61305,66324
1147,305011106,56984,60341,61233,63492
1148,305011107,58723,61804,63600,65875
1149,305011108,68666,74602,80960,83012
1150,305011109,75146,85274,86794,90338
1151,305011110,60215,67741,74188,72727
1152,305011111,53026,56064,60036,59418
1153,305011112,59857,66879,70584,70000
1154,305021113,75452,83392,89146,90689
1155,305021114,85224,93898,98466,105873
1156,305021115,57936,65205,69362,69385
1157,305021116,79840,89458,96411,103161
1158,305021117,58094,63012,67177,69111
1159,305021118,73026,77894,81503,87668
1160,305031119,60211,64567,67265,71031
1161,305031120,64994,70010,72394,73518
1162,305031121,95627,106730,110898,110371
1163,305031122,76766,80317,82356,85852
1164,305031123,74546,78429,82491,85915
1165,305031124,100676,101198,103047,103847
1166,305031125,77518,82685,85679,92129
1167,305031126,58006,62212,65587,67192
1168,305031127,63762,69309,71690,72184
1169,305031128,90256,95955,101325,102362
1170,305031129,85361,93292,98119,99398
1171,305031130,63536,68917,70084,71333
1172,305031131,64875,67949,70672,72489
1173,305041132,71439,78968,81031,83089
1174,305041133,67600,73061,77894,77899
1175,305041134,83139,87514,93076,96249
1176,305041135,72159,77801,84914,90022
1177,305041136,66679,71562,75865,76552
1178,305041137,62146,67165,70691,72139
1179,306011138,52835,56524,60331,61664
1180,306011139,49634,51811,54953,56152
1181,306011140,57222,59737,61444,63177
1182,306011141,54409,58199,60814,63026
1183,306011142,47924,52567,55416,57004
1184,306011143,46742,49786,53797,52447
1185,306021144,46394,50098,52551,53494
1186,306021145,41205,44302,45991,46598
1187,306021146,48778,51993,54529,54640
1188,306021147,45592,49042,50654,50785
1189,306021148,47332,49854,52954,53557
1190,306021149,50605,54846,56385,57568
1191,306021150,na,na,na,na
1192,306021151,39756,40427,42911,42927
1193,306021152,39962,42300,43490,43979
1194,306021153,48239,50997,54174,54694
1195,306021154,40618,42587,44354,45563
1196,306021155,42452,46012,47577,49029
1197,306021156,54873,59991,61809,61803
1198,306021157,42433,44683,47214,46984
1199,306031158,42722,44194,46204,48098
1200,306031159,39536,41899,42637,43485
1201,306031160,38774,42089,44645,45663
1202,306031161,37134,39435,40654,41876
1203,306031162,na,na,na,na
1204,306031163,34340,34313,39423,39380
1205,306041164,38858,40767,44098,44853
1206,306041165,37661,40365,42001,44558
1207,306051166,41547,44755,45395,45556
1208,306051167,35916,39030,40074,40553
1209,306051168,41007,44185,46959,47669
1210,306051169,38119,41923,43276,44815
1211,306051170,41307,43700,45100,45552
1212,307011171,46163,47969,51952,43274
1213,307011172,44405,53084,58214,61039
1214,307011173,43826,49269,48112,48129
1215,307011174,36552,38976,39147,38524
1216,307011175,33488,41453,41652,40183
1217,307011176,49007,54868,56075,56320
1218,307011177,38317,43224,39566,35270
1219,307011178,31482,37331,39130,37378
1220,307021179,34196,37796,39274,41807
1221,307021180,38531,43142,46541,46525
1222,307021181,34623,39701,42346,43356
1223,307021182,38901,43253,46012,44822
1224,307021183,43020,49243,53363,53180
1225,307031184,33858,36086,39269,41107
1226,307031185,29625,32869,32686,35814
1227,307031186,31806,35837,37506,39123
1228,307031187,33551,34721,35777,37864
1229,307031188,32644,34264,34755,36811
1230,307031189,37585,40706,42392,43366
1231,308011190,68208,71752,75780,76732
1232,308011191,52589,57947,65248,61184
1233,308011192,64959,69941,72656,70646
1234,308031205,43086,47096,50027,50179
1235,308031206,50324,57278,57786,56049
1236,308031207,50115,55645,58934,59479
1237,308031208,54331,59462,60855,61774
1238,308031209,58689,64843,68445,67860
1239,308031210,53171,59714,62112,60871
1240,308031211,46440,48965,50408,51927
1241,308031212,42540,45767,48896,49579
1242,308031213,55095,59884,63821,64218
1243,308031214,46200,50364,52145,52164
1244,308031215,49412,55157,58962,59802
1245,308031216,50243,55005,58190,58232
1246,308031217,43474,49222,49453,50608
1247,308031218,49687,55272,58332,57697
1248,308031219,47463,52940,52018,53824
1249,308031220,44554,41741,47508,52131
1250,308031221,na,na,na,na
1251,308031222,58426,65655,68560,69875
1252,308031223,54966,61053,62867,63376
1253,308041528,46409,51503,51219,53297
1254,308041529,57032,61751,64990,65798
1255,308051530,40078,48501,50577,52360
1256,308051531,64695,73985,80849,81223
1257,308051532,na,80229,113541,na
1258,308051533,63059,72722,83542,87102
1259,308051534,59426,69320,79746,87772
1260,308051535,60335,69079,75678,78773
1261,308051536,60318,68828,74182,74149
1262,308051537,na,na,na,na
1263,308051538,64693,73159,79958,79864
1264,308051539,56227,65381,72245,72899
1265,309011224,54636,57531,62230,63356
1266,309011225,46882,50044,53178,56077
1267,309011226,42726,45703,49581,51735
1268,309011227,52051,56752,57709,61527
1269,309011228,43397,46353,49042,51388
1270,309011229,46025,49078,52307,54404
1271,309021230,42851,46204,47983,49683
1272,309021231,46030,50094,53780,54215
1273,309021232,42781,47130,52215,53209
1274,309021233,41565,44552,47503,49448
1275,309021234,45007,47191,52225,54320
1276,309031235,44172,47617,50539,51558
1277,309031236,44149,47518,49629,50069
1278,309031237,39075,41443,43401,45403
1279,309031238,39592,41988,44021,45429
1280,309031239,59323,64699,69182,77317
1281,309031240,49145,50916,52012,56070
1282,309041241,45426,48411,51207,52309
1283,309041242,43292,46440,48983,50419
1284,309051243,49583,51654,56030,57699
1285,309051244,45608,48906,52401,54040
1286,309051245,45132,50122,53332,56445
1287,309061246,44376,47138,49363,51817
1288,309061247,40780,43528,46198,47689
1289,309061248,41113,44437,47281,48748
1290,309061249,44892,48259,51509,52822
1291,309061250,48968,50984,56028,57013
1292,309071251,49252,52836,55481,57844
1293,309071252,48961,52268,55266,56513
1294,309071253,65242,66976,67189,71784
1295,309071254,45471,50351,52454,55241
1296,309071255,49671,52962,54747,56749
1297,309071256,45071,47980,51005,52978
1298,309071257,44289,47830,49616,50313
1299,309071258,46530,50397,53264,54654
1300,309081259,54201,54420,58776,60533
1301,309081260,40683,43123,45764,47144
1302,309081261,43700,46426,50429,51538
1303,309081262,41641,44463,47946,49849
1304,309091263,44096,47863,50994,52235
1305,309091264,41292,43738,46364,49169
1306,309091265,42332,45422,48878,49702
1307,309091540,38196,40287,43393,44153
1308,309091541,43894,46572,50743,51436
1309,309101267,55184,58688,60167,63846
1310,309101268,56333,60386,63482,67436
1311,309101269,66257,69849,72155,76233
1312,309101270,50690,50863,52135,56478
1313,310011271,42191,45942,47997,48159
1314,310011272,41902,43844,45494,45657
1315,310011273,48500,52269,54437,55151
1316,310011274,35553,37197,39065,38981
1317,310011275,49508,54657,55402,56492
1318,310011276,35539,40235,42572,41940
1319,310021277,38897,41292,43053,44698
1320,310021278,35079,39179,40508,43707
1321,310021279,na,na,na,na
1322,310021280,39528,43255,45644,47180
1323,310021281,40807,44790,46822,49147
1324,310021282,45357,47810,49322,50159
1325,310031283,45367,48491,50729,51757
1326,310031284,43002,44563,46409,46918
1327,310031285,46563,49019,50806,52041
1328,310031286,46090,49574,51593,52054
1329,310031287,43877,46538,47997,49534
1330,310031288,54402,56517,57952,61054
1331,310031289,54074,58689,61802,63304
1332,310031290,58504,61976,64228,65472
1333,310031291,40872,43281,45780,47266
1334,310031292,41643,44917,47012,47491
1335,310031293,46517,49303,51528,52685
1336,310031294,51167,53907,55439,57148
1337,310031295,38057,40174,42979,44216
1338,310041296,54230,58477,61507,62536
1339,310041297,45174,48058,50216,50699
1340,310041298,46804,85096,40610,40260
1341,310041299,45108,47987,49151,50458
1342,310041300,40337,43119,44654,45246
1343,310041301,na,na,na,na
1344,310041302,42473,44653,46656,47246
1345,310041303,49188,52796,54360,55990
1346,310041304,52340,55780,58167,59490
1347,311011305,39874,42168,44680,45642
1348,311021306,40957,43793,44723,46288
1349,311021307,36969,39228,41510,41978
1350,311021308,43874,46556,48192,48966
1351,311021309,44906,47747,49349,50679
1352,311021310,47441,51899,53343,56038
1353,311031311,41688,44937,46597,48245
1354,311031312,42252,45548,46648,47494
1355,311031313,45147,48614,48586,51131
1356,311031314,40902,43701,44950,46358
1357,311031315,na,na,na,na
1358,311031316,48442,51657,52803,55014
1359,311031317,39508,42535,43741,44501
1360,311031318,46504,49193,52533,53028
1361,311031319,45882,48309,50409,51467
1362,311041320,49033,52809,55493,57378
1363,311041321,46894,50697,53065,54754
1364,311041322,46111,49755,52573,54030
1365,311051323,41580,45363,47350,48382
1366,311051324,51390,54489,57183,58118
1367,311051325,46009,48873,51548,52876
1368,311051326,41824,45183,45634,45717
1369,311051327,51005,53831,56007,57767
1370,311051328,39968,42555,43992,45289
1371,311061329,50948,54658,56581,58641
1372,311061330,37265,39891,41482,41921
1373,311061331,34977,37614,38483,38967
1374,311061332,48141,50829,52594,53545
1375,311061333,40416,42916,44904,45405
1376,311061334,48350,51836,52890,54075
1377,311061335,49822,53295,53706,54065
1378,311061336,35981,38474,40389,40335
1379,312011337,47445,50681,53571,52622
1380,312011338,72394,78371,79873,81489
1381,312011339,60071,67593,72175,65045
1382,312011340,57047,60274,64974,56821
1383,312011341,83224,87060,93476,94628
1384,312021342,58036,63654,67001,66430
1385,312021343,60499,64721,66568,67044
1386,312021344,69961,76669,80085,76986
1387,312021345,na,na,na,na
1388,312021346,55223,60488,62437,61437
1389,312021347,85593,95407,105859,100712
1390,312021348,66809,72191,76335,74905
1391,312021349,54231,60341,61239,61343
1392,312021350,60484,67622,70132,70145
1393,312021351,58285,63356,66533,66835
1394,312021352,59375,63850,66292,65394
1395,312021353,54303,60661,64799,62314
1396,312021354,64428,68988,71759,72448
1397,312021355,57245,65013,66719,64516
1398,312021356,53522,58356,61006,60858
1399,312021357,59715,65236,68160,67148
1400,312021358,58959,64417,66793,65958
1401,312031359,43867,51874,54737,53941
1402,312031360,na,na,na,na
1403,312031361,44578,52547,56053,54504
1404,313011362,39435,42738,45782,47043
1405,313011363,39964,43999,45332,47236
1406,313021364,45782,49464,53983,58431
1407,313021365,39062,41743,43196,44580
1408,313021366,38754,40811,42535,43359
1409,313021367,43012,45783,48903,51885
1410,313021368,40276,43733,46274,47152
1411,313021369,43647,47111,49726,49882
1412,313031370,37760,41241,42685,45755
1413,313031371,40041,43196,45825,48682
1414,313041372,44836,48139,50616,51142
1415,313041373,40867,43886,46084,47417
1416,313041374,46793,50663,52418,54550
1417,313041375,48912,52254,54952,56826
1418,313041376,46756,51343,54093,54258
1419,313051377,43488,47763,50246,51847
1420,313051378,45415,48740,50985,53423
1421,313051379,44805,48632,50095,50811
1422,313051380,41959,44389,46455,47126
1423,313051542,52157,55743,58765,62457
1424,314011382,54374,58137,60176,61754
1425,314011383,55225,59372,60877,62018
1426,314011384,52038,56812,60334,60896
1427,314011385,59906,63360,65001,67092
1428,314011386,54055,57619,59806,61808
1429,314011387,66043,70192,74469,76246
1430,314021388,43718,46677,48322,49845
1431,314021389,52379,54535,56884,58431
1432,314021390,53918,57443,59958,61695
1433,314031391,44845,47524,49644,50931
1434,314031392,43281,47293,48003,48739
1435,314031393,48666,51036,53673,54739
1436,314031394,43651,46493,47573,48031
1437,315011395,28669,27895,42768,31489
1438,315011396,47047,39410,42624,41963
1439,315011397,34469,29786,21066,17543
1440,315011398,29605,32415,31960,30988
1441,315011399,39574,39338,40570,42568
1442,315011400,34521,36437,40173,40589
1443,315011401,47539,51469,54060,55122
1444,315011402,28753,33700,37780,37413
1445,315011403,70316,75567,81361,82294
1446,315021404,40857,45620,45266,47299
1447,315021405,64447,69821,74314,75234
1448,315021406,58649,63707,66250,64105
1449,315021407,41833,38214,43629,36828
1450,315031408,40969,43005,42607,41464
1451,315031409,43798,45999,44733,43432
1452,315031410,49749,52348,48425,39580
1453,315031411,43335,44588,41457,40811
1454,315031412,45922,49226,48611,46715
1455,316011413,47397,52306,53687,55848
1456,316011414,50590,54101,57799,60392
1457,316011415,44085,46875,50088,52861
1458,316011416,39679,43681,47534,48035
1459,316021417,40146,43550,46437,49390
1460,316021418,53004,58391,60599,65168
1461,316021419,40920,44700,50074,49571
1462,316021420,41714,46052,48972,50622
1463,316021421,42613,46091,49699,51821
1464,316021422,44644,47958,51673,53352
1465,316021423,45327,49433,53875,56096
1466,316021424,41337,45827,50764,53700
1467,316031425,42779,46374,49800,52178
1468,316031426,41441,45883,48994,50550
1469,316031427,40968,43740,45979,47874
1470,316031428,45379,48297,51555,54504
1471,316051434,48269,53240,56744,57587
1472,316051435,42941,46003,50109,52561
1473,316051437,44861,48990,55384,59752
1474,316051438,36501,39703,42820,44157
1475,316051543,43117,47081,49733,53710
1476,316051544,44395,50607,53797,56341
1477,316061439,38736,42253,44755,46872
1478,316061440,38170,41130,42707,44284
1479,316061441,41800,45010,47090,48833
1480,316061442,41692,45043,49333,51458
1481,316061443,39270,42542,44341,47085
1482,316061444,42507,45971,48972,51168
1483,316071545,43015,46077,47992,49063
1484,316071546,45148,48967,50645,53257
1485,316071547,39837,43422,47881,49763
1486,316071548,40331,43792,45401,45776
1487,316081549,40956,43827,47638,48427
1488,317011445,46903,51123,56053,57021
1489,317011446,41263,44983,47573,48751
1490,317011447,39508,42392,45325,47371
1491,317011448,35463,37472,37262,37707
1492,317011449,44238,48409,51154,53632
1493,317011450,50034,54063,56738,58773
1494,317011451,41700,45362,48083,50500
1495,317011452,59057,62800,66988,70427
1496,317011453,40961,44415,46709,47045
1497,317011454,41839,44610,48513,49900
1498,317011455,50879,55830,59101,60534
1499,317011456,42967,46473,49419,50470
1500,317011457,60012,64821,68614,71418
1501,317011458,48024,51251,55143,56637
1502,317011459,40277,42828,45723,47275
1503,318011460,46526,52517,51684,51215
1504,318011461,44871,56333,51095,48107
1505,318011462,46754,50941,53205,51349
1506,318011463,44096,49279,45986,44058
1507,318011464,43183,46687,48423,49060
1508,318011465,43505,47210,48355,49204
1509,318011466,34915,37121,39704,40139
1510,318021467,48274,51321,52479,53786
1511,318021468,60480,64349,67187,67829
1512,318021469,63119,67704,71410,69924
1513,318021470,56473,59876,62707,63744
1514,318021471,46539,50579,51782,52049
1515,318021472,47076,50840,53415,52565
1516,318021473,55464,59134,61824,61654
1517,318021474,57220,60622,63525,64522
1518,318021475,50652,53755,55614,55860
1519,318021476,46297,49557,50996,51869
1520,318021477,44259,47497,49858,49864
1521,318021478,50336,54554,55540,55737
1522,318021479,56117,59580,59714,60303
1523,318021480,48196,52146,54207,54323
1524,318021481,45904,48830,51344,51047
1525,318021482,54231,57237,59379,59860
1526,318021483,38096,39797,43957,43733
1527,318021484,54610,58338,61274,61599
1528,318021485,53839,58461,61612,62736
