,SA2,2005_income,2006_income,2007_income,2008_income,2009_income
1288,311061331,29565,31106,32631,34237,34654
1289,311061332,38170,41097,42876,45164,45471
1290,311061333,34885,36998,38208,40403,41062
1291,311061334,37210,39614,40811,42923,43365
1292,311061335,37843,39343,41198,42964,45405
1293,311061336,29491,31045,32544,34101,34406
1294,312011337,34546,38249,38395,43217,42255
1295,312011338,54578,57648,59365,65312,64814
1296,312011339,41856,46830,53399,53365,49891
1297,312011340,40583,40268,41811,48992,46678
1298,312011341,61235,64329,66760,74561,75662
1299,312021342,44542,48073,49692,53431,54716
1300,312021343,44536,48079,49688,53438,54707
1301,312021344,44539,48068,49690,53427,54713
1302,312021345,-,19890,-,-,-
1303,312021346,44535,48067,49690,53424,54722
1304,312021347,44489,48047,49765,53527,54681
1305,312021348,44489,48116,49542,53297,54631
1306,312021349,44536,48074,49689,53432,54719
1307,312021350,44550,48080,49692,53440,54719
1308,312021351,40845,46113,44843,50154,53598
1309,312021352,42792,45909,47034,50198,52825
1310,312021353,42263,46996,45773,48643,51068
1311,312021354,48361,51489,52230,56659,58404
1312,312021355,44544,48070,49698,53429,54713
1313,312021356,44538,48066,49693,53428,54714
1314,312021357,45101,49025,48909,53225,55231
1315,312021358,44535,48065,49688,53431,54709
1316,312031359,35328,37424,38327,40007,40685
1317,312031361,36979,39957,37952,40792,42553
1318,313011362,31295,33064,34754,36664,37377
1319,313011363,31531,33584,33415,34933,36892
1320,313021364,34475,36752,38302,40398,42213
1321,313021365,31038,33117,34562,36293,37347
1322,313021366,31963,34141,35730,37577,38294
1323,313021367,33529,35627,37232,38989,40295
1324,313021368,33074,35419,37213,39267,39552
1325,313021369,32851,35715,36480,36962,38923
1326,313031370,30791,32714,34897,46095,39244
1327,313031371,31678,33739,35385,36299,37782
1328,313041372,34524,36787,38328,40425,42301
1329,313041373,31399,33435,35034,37187,38269
1330,313041374,33083,35426,37219,39272,39556
1331,313041375,36957,39991,41808,44416,46115
1332,313041376,31341,33451,34936,36701,37663
1333,313051377,33630,35736,37397,39870,41139
1334,313051378,33634,35738,37396,39873,41131
1335,313051379,36547,39706,40766,42731,44295
1336,313051380,33017,35617,36839,38541,39980
1337,313051381,36616,39802,40847,42801,44369
1338,314011382,46777,49920,52456,53104,55619
1339,314011383,37044,39865,41511,43824,45677
1340,314011384,41451,43771,45235,46716,49447
1341,314011385,44867,48069,50448,53971,55598
1342,314011386,40170,42711,44486,47208,49447
1343,314011387,48092,51596,52873,56433,59759
1344,314021388,36566,39215,40576,42522,43540
1345,314021389,36564,39216,40578,42523,43541
1346,314021390,40162,43518,46006,48828,50643
1347,314031391,37034,39846,41498,43808,45661
1348,314031392,34746,36359,37593,39694,39971
1349,314031393,37068,39415,41376,43508,45073
1350,314031394,37045,39857,41510,43819,45676
