,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
154,19904,Glenferrie Railway Station (Hawthorn),-37.821467,145.036439,1,"Belgrave,Lilydale,Alamein",POINT (145.03643892 -37.82146698)
155,19905,Hawthorn Railway Station (Hawthorn),-37.821826,145.022899,1,"Belgrave,Lilydale,Alamein",POINT (145.02289896 -37.82182599)
156,19906,Burnley Railway Station (Burnley),-37.82756,145.007555,1,"Belgrave,Glen Waverley,Lilydale,Alamein",POINT (145.00755504 -37.82755998)
157,19907,East Richmond Railway Station (Richmond),-37.8264,144.997066,1,"Belgrave,Glen Waverley,Lilydale,Alamein",POINT (144.99706608 -37.82639997)
158,19908,Richmond Railway Station (Richmond),-37.824074,144.990164,1,"Belgrave,Cranbourne,Frankston,Glen Waverley,Lilydale,Pakenham,Sandringham,Alamein",POINT (144.99016416 -37.82407401)
159,19909,Heyington Railway Station (Toorak),-37.834672,145.022635,1,Glen Waverley,POINT (145.02263508 -37.83467196)
160,19910,Kooyong Railway Station (Kooyong),-37.839929,145.033552,1,Glen Waverley,POINT (145.03355208 -37.83992904)
161,19911,Tooronga Railway Station (Malvern),-37.849366,145.041734,1,Glen Waverley,POINT (145.04173416 -37.84936599)
162,19912,Gardiner Railway Station (Glen Iris),-37.853279,145.051655,1,Glen Waverley,POINT (145.05165504 -37.85327901)
163,19913,Springvale Railway Station (Springvale),-37.949509,145.153452,2,"Pakenham,Cranbourne",POINT (145.15345188 -37.94950899)
164,19914,Westall Railway Station (Clayton South),-37.938491,145.138833,2,"Pakenham,Cranbourne",POINT (145.138833 -37.93849101)
165,19915,Clayton Railway Station (Clayton),-37.924683,145.120534,2,"Pakenham,Cranbourne",POINT (145.12053384 -37.92468303)
166,19916,Huntingdale Railway Station (Oakleigh),-37.911017,145.102364,"1,2","Pakenham,Cranbourne",POINT (145.10236392 -37.91101698)
167,19917,Oakleigh Railway Station (Oakleigh),-37.900372,145.088308,"1,2","Pakenham,Cranbourne",POINT (145.08830808 -37.90037196)
168,19918,Hughesdale Railway Station (Hughesdale),-37.894881,145.077635,"1,2","Pakenham,Cranbourne",POINT (145.07763516 -37.89488097)
169,19919,Murrumbeena Railway Station (Murrumbeena),-37.890198,145.067375,1,"Pakenham,Cranbourne",POINT (145.06737516 -37.890198)
170,19920,Carnegie Railway Station (Carnegie),-37.886241,145.058575,1,"Pakenham,Cranbourne",POINT (145.05857496 -37.88624097)
171,19921,Werribee Railway Station (Werribee),-37.899378,144.661118,2,Werribee,POINT (144.66111804 -37.899378)
172,19922,Hoppers Crossing Railway Station (Hoppers Crossing),-37.883276,144.700955,2,Werribee,POINT (144.70095492 -37.88327601)
173,19923,Laverton Railway Station (Laverton),-37.863694,144.772617,"1,2",Werribee,POINT (144.77261688 -37.86369399)
174,19924,Aircraft Railway Station (Laverton),-37.866606,144.760809,2,Werribee,POINT (144.76080888 -37.86660603)
175,19925,Westona Railway Station (Altona),-37.865163,144.813494,"1,2",Werribee,POINT (144.81349416 -37.86516297)
176,19926,Altona Railway Station (Altona),-37.867148,144.829645,"1,2",Werribee,POINT (144.82964484 -37.86714801)
177,19927,Seaholme Railway Station (Seaholme),-37.867842,144.840958,1,Werribee,POINT (144.84095784 -37.867841999999996)
